"","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_genus_notes","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","sample_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","gene_targets_simplified","euthanasia","euthanasia_simplified","method_specific_simplified","virus_genus_simplified","spec","species_for_reader","species","studies","observation","study","yi","vi","backtrans","phylo","species_char","family"
"53",14,"a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","Balboni et al.","Scientificworldjournal",2012,3,3,1,"Rhinolophus ferrumequinum","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","Italy","N","Savona","Giovo","NA","NA","2009","","",NA,"","October","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:05pm","faecal, rectal, or anal","faeces","0","1","0","0",NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","11","a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys",1.30899693899575,0.0714285714285714,1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","RHINOLOPHIDAE"
"54",15,"a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","Balboni et al.","Scientificworldjournal",2012,3,1,0.333333,"Rhinolophus ferrumequinum","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","Italy","N","Piacenza","Val di Trebbia","NA","NA","2009","","",NA,"","October","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:05pm","faecal, rectal, or anal","faeces","0","1","0","0",NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","12","a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys",0.654498469497874,0.0714285714285714,0.333333333333333,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","RHINOLOPHIDAE"
"55",16,"a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","Balboni et al.","Scientificworldjournal",2012,3,2,0.666667,"Rhinolophus ferrumequinum","betacoronavirus","","Sarbecovirus","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","Italy","N","Piacenza","Castell’arquato","NA","NA","2009","","",NA,"","November","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:05pm","faecal, rectal, or anal","faeces","0","1","0","0",NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","13","a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys",0.916297857297023,0.0714285714285714,0.666666666666667,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","RHINOLOPHIDAE"
"56",20,"alphacoronavirus detected in bats in the united kingdom","August et al.","Vector-borne and Zoonotic Diseases",2012,16,12,0.75,"Myotis nattereri","alphacoronavirus","","","bat","","single","cross-sectional","RNA","semi-nested RT-PCR","multiple","RdRp",NA,"faeces","United Kingdom","N","Oxfordshire","Wytham Woods","-1º33'41""E","51º77'27""N","","2006","",2009,"","","Year",NA,"","","","","VERENA Admin","4/25/2022 2:18pm","faecal, rectal, or anal","faeces","1","1","1","1",52.2908333333333,-1.56138888888889,"RdRp","No","No","PCR","alphacoronavirus",1,"Myotis nattereri","Myotis nattereri","alphacoronavirus detected in bats in the united kingdom","14","alphacoronavirus detected in bats in the united kingdom",1.03097235053772,0.0151515151515152,0.75,"Myotis nattereri","Myotis nattereri","VESPERTILIONIDAE"
"57",21,"alphacoronavirus detected in bats in the united kingdom","August et al.","Vector-borne and Zoonotic Diseases",2012,16,9,0.5625,"Myotis nattereri","alphacoronavirus","","","bat","","single","cross-sectional","RNA","semi-nested RT-PCR","multiple","RdRp",NA,"faeces","United Kingdom","N","Wiltshire","Savernake Forest","-1º67'75""E","51º39’96""N","","2006","",2009,"","","Year",NA,"","","","","VERENA Admin","4/25/2022 2:18pm","faecal, rectal, or anal","faeces","1","1","1","1",51.6766666666667,-2.1375,"RdRp","No","No","PCR","alphacoronavirus",1,"Myotis nattereri","Myotis nattereri","alphacoronavirus detected in bats in the united kingdom","15","alphacoronavirus detected in bats in the united kingdom",0.844462440994311,0.0151515151515152,0.5625,"Myotis nattereri","Myotis nattereri","VESPERTILIONIDAE"
"58",22,"alphacoronavirus detected in bats in the united kingdom","August et al.","Vector-borne and Zoonotic Diseases",2012,30,5,0.166667,"Myotis daubentonii","alphacoronavirus","","","bat","","single","cross-sectional","RNA","semi-nested RT-PCR","multiple","RdRp",NA,"faeces","United Kingdom","N","Oxfordshire","Wytham Woods","-1º33'41""E","51º77'27""N","","2006","",2009,"","","Year",NA,"","","","","VERENA Admin","4/25/2022 2:18pm","faecal, rectal, or anal","faeces","1","1","1","1",52.2908333333333,-1.56138888888889,"RdRp","No","No","PCR","alphacoronavirus",1,"Myotis daubentonii","Myotis daubentonii","alphacoronavirus detected in bats in the united kingdom","16","alphacoronavirus detected in bats in the united kingdom",0.434403582736407,0.00819672131147541,0.166666666666667,"Myotis daubentonii","Myotis daubentonii","VESPERTILIONIDAE"
"59",23,"alphacoronavirus detected in bats in the united kingdom","August et al.","Vector-borne and Zoonotic Diseases",2012,26,0,0,"Plecotus auritus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","semi-nested RT-PCR","multiple","RdRp",NA,"faeces","United Kingdom","N","Oxfordshire","Wytham Woods","-1º33'41""E","51º77'27""N","","2006","",2009,"","","Year",NA,"","","","","VERENA Admin","4/25/2022 12:51pm","faecal, rectal, or anal","faeces","1","1","1","1",52.2908333333333,-1.56138888888889,"RdRp","No","No","PCR","genus not specified",1,"Plecotus auritus","Plecotus auritus","alphacoronavirus detected in bats in the united kingdom","17","alphacoronavirus detected in bats in the united kingdom",0.0968291502221633,0.00943396226415094,0,"Plecotus auritus","Plecotus auritus","VESPERTILIONIDAE"
"60",24,"alphacoronavirus detected in bats in the united kingdom","August et al.","Vector-borne and Zoonotic Diseases",2012,15,0,0,"Rhinolophus ferrumequinum","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","semi-nested RT-PCR","multiple","RdRp",NA,"faeces","United Kingdom","N","SW England","","NA","NA","","2006","",2009,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:06pm","faecal, rectal, or anal","faeces","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","alphacoronavirus detected in bats in the united kingdom","18","alphacoronavirus detected in bats in the united kingdom",0.126340127571039,0.0161290322580645,0,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","RHINOLOPHIDAE"
"61",26,"alphacoronavirus detected in bats in the united kingdom","August et al.","Vector-borne and Zoonotic Diseases",2012,6,0,0,"Rhinolophus hipposideros","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","semi-nested RT-PCR","multiple","RdRp",NA,"faeces","United Kingdom","N","SW England","","NA","NA","","2006","",2009,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:06pm","faecal, rectal, or anal","faeces","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rhinolophus hipposideros","Rhinolophus hipposideros","alphacoronavirus detected in bats in the united kingdom","19","alphacoronavirus detected in bats in the united kingdom",0.19379834332759,0.0384615384615385,0,"Rhinolophus hipposideros","Rhinolophus hipposideros","RHINOLOPHIDAE"
"62",28,"alphacoronavirus detected in bats in the united kingdom","August et al.","Vector-borne and Zoonotic Diseases",2012,2,0,0,"Pipistrellus pipistrellus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","semi-nested RT-PCR","multiple","RdRp",NA,"faeces","United Kingdom","N","Wiltshire","Savernake Forest","-1º67'75""E","51º39’96""N","","2006","",2009,"","","Year",NA,"","","","","VERENA Admin","4/25/2022 12:51pm","faecal, rectal, or anal","faeces","1","1","1","1",51.6766666666667,-2.1375,"RdRp","No","No","PCR","genus not specified",1,"Pipistrellus pipistrellus","Pipistrellus pipistrellus","alphacoronavirus detected in bats in the united kingdom","20","alphacoronavirus detected in bats in the united kingdom",0.307739854335194,0.1,0,"Pipistrellus pipistrellus","Pipistrellus pipistrellus","VESPERTILIONIDAE"
"63",30,"alphacoronavirus detected in bats in the united kingdom","August et al.","Vector-borne and Zoonotic Diseases",2012,1,0,0,"Barbastella barbastellus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","semi-nested RT-PCR","multiple","RdRp",NA,"faeces","United Kingdom","N","Wiltshire","Savernake Forest","-1º67'75""E","51º39’96""N","","2006","",2009,"","","Year",NA,"","","","","VERENA Admin","4/25/2022 12:51pm","faecal, rectal, or anal","faeces","1","1","1","1",51.6766666666667,-2.1375,"RdRp","No","No","PCR","genus not specified",1,"Barbastella barbastellus","Barbastella barbastellus","alphacoronavirus detected in bats in the united kingdom","21","alphacoronavirus detected in bats in the united kingdom",0.392699081698724,0.166666666666667,0,"Barbastella barbastellus","Barbastella barbastellus","VESPERTILIONIDAE"
"64",31,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,14,5,0.357143,"Molossus rufus","alphacoronavirus","","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"liver","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","liver","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","alphacoronavirus",1,"Molossus rufus","Molossus rufus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","22","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.650099455836335,0.0172413793103448,0.357142857142857,"Molossus rufus","Molossus rufus","MOLOSSIDAE"
"65",35,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,14,3,0.214286,"Molossus rufus","alphacoronavirus","","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"lung","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","lung or respiratory","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","alphacoronavirus",1,"Molossus rufus","Molossus rufus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","23","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.503143355625229,0.0172413793103448,0.214285714285714,"Molossus rufus","Molossus rufus","MOLOSSIDAE"
"66",36,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,14,1,0.071429,"Molossus rufus","alphacoronavirus","","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"intestines","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","intestine","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","alphacoronavirus",1,"Molossus rufus","Molossus rufus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","24","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.317474792868767,0.0172413793103448,0.0714285714285714,"Molossus rufus","Molossus rufus","MOLOSSIDAE"
"70",40,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,5,2,0.4,"Phyllostomus discolor","alphacoronavirus","","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"liver","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","liver","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","alphacoronavirus",1,"Phyllostomus discolor","Phyllostomus discolor","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","25","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.700438936033918,0.0454545454545455,0.4,"Phyllostomus discolor","Phyllostomus discolor","PHYLLOSTOMIDAE"
"71",41,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,5,0,0,"Phyllostomus discolor","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"lung","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","lung or respiratory","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","genus not specified",1,"Phyllostomus discolor","Phyllostomus discolor","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","26","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.210267167641983,0.0454545454545455,0,"Phyllostomus discolor","Phyllostomus discolor","PHYLLOSTOMIDAE"
"72",42,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,5,0,0,"Phyllostomus discolor","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"intestines","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","intestine","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","genus not specified",1,"Phyllostomus discolor","Phyllostomus discolor","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","27","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.210267167641983,0.0454545454545455,0,"Phyllostomus discolor","Phyllostomus discolor","PHYLLOSTOMIDAE"
"73",44,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,13,1,0.076923,"Artibeus literatus","alphacoronavirus","","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"liver","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","liver","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","alphacoronavirus",1,"Artibeus lituratus","Artibeus lituratus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","28","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.329073224816877,0.0185185185185185,0.0769230769230769,"Artibeus lituratus","Artibeus lituratus","PHYLLOSTOMIDAE"
"74",45,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,13,0,0,"Artibeus literatus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"lung","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","lung or respiratory","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","genus not specified",1,"Artibeus lituratus","Artibeus lituratus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","29","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.135274881489286,0.0185185185185185,0,"Artibeus lituratus","Artibeus lituratus","PHYLLOSTOMIDAE"
"75",46,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,13,0,0,"Artibeus literatus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"intestines","Brazil","S","São José do Rio Preto","","NA","NA","","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","intestine","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","genus not specified",1,"Artibeus lituratus","Artibeus lituratus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","30","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",0.135274881489286,0.0185185185185185,0,"Artibeus lituratus","Artibeus lituratus","PHYLLOSTOMIDAE"
