PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
32225175,Structural basis of receptor recognition by SARS-CoV-2,"Shang J, Ye G, Shi K, Wan Y, Luo C, Aihara H, Geng Q, Auerbach A, Li F.",Nature. 2020 May;581(7807):221-224. doi: 10.1038/s41586-020-2179-y. Epub 2020 Mar 30.,Shang J,Nature,2020,4/1/20,PMC7328981,NIHMS1578671,10.1038/s41586-020-2179-y
19595990,Immunogenicity difference between the SARS coronavirus and the bat SARS-like coronavirus spike (S) proteins,"Zhou P, Han Z, Wang LF, Shi Z.",Biochem Biophys Res Commun. 2009 Sep 18;387(2):326-9. doi: 10.1016/j.bbrc.2009.07.025. Epub 2009 Jul 16.,Zhou P,Biochem Biophys Res Commun,2009,7/15/09,PMC7092906,,10.1016/j.bbrc.2009.07.025
32169119,"The origin, transmission and clinical therapies on coronavirus disease 2019 (COVID-19) outbreak - an update on the status","Guo YR, Cao QD, Hong ZS, Tan YY, Chen SD, Jin HJ, Tan KS, Wang DY, Yan Y.",Mil Med Res. 2020 Mar 13;7(1):11. doi: 10.1186/s40779-020-00240-0.,Guo YR,Mil Med Res,2020,3/15/20,PMC7068984,,10.1186/s40779-020-00240-0
32333222,"The genetic sequence, origin, and diagnosis of SARS-CoV-2","Wang H, Li X, Li T, Zhang S, Wang L, Wu X, Liu J.",Eur J Clin Microbiol Infect Dis. 2020 Sep;39(9):1629-1635. doi: 10.1007/s10096-020-03899-4. Epub 2020 Apr 24.,Wang H,Eur J Clin Microbiol Infect Dis,2020,4/26/20,PMC7180649,,10.1007/s10096-020-03899-4
32498503,COVID-19: a review,"Madabhavi I, Sarkar M, Kadakol N.",Monaldi Arch Chest Dis. 2020 May 14;90(2). doi: 10.4081/monaldi.2020.1298.,Madabhavi I,Monaldi Arch Chest Dis,2020,6/6/20,,,10.4081/monaldi.2020.1298
29887526,Middle East respiratory syndrome coronavirus and bat coronavirus HKU9 both can utilize GRP78 for attachment onto host cells,"Chu H, Chan CM, Zhang X, Wang Y, Yuan S, Zhou J, Au-Yeung RK, Sze KH, Yang D, Shuai H, Hou Y, Li C, Zhao X, Poon VK, Leung SP, Yeung ML, Yan J, Lu G, Jin DY, Gao GF, Chan JF, Yuen KY.",J Biol Chem. 2018 Jul 27;293(30):11709-11726. doi: 10.1074/jbc.RA118.001897. Epub 2018 Jun 10.,Chu H,J Biol Chem,2018,6/12/18,PMC6066311,,10.1074/jbc.RA118.001897
31418677,Detection and characterization of a novel bat-borne coronavirus in Singapore using multiple molecular approaches,"Lim XF, Lee CB, Pascoe SM, How CB, Chan S, Tan JH, Yang X, Zhou P, Shi Z, Sessions OM, Wang LF, Ng LC, Anderson DE, Yap G.",J Gen Virol. 2019 Oct;100(10):1363-1374. doi: 10.1099/jgv.0.001307. Epub 2019 Aug 16.,Lim XF,J Gen Virol,2019,8/17/19,PMC7079695,,10.1099/jgv.0.001307
32098422,Systematic Comparison of Two Animal-to-Human Transmitted Human Coronaviruses: SARS-CoV-2 and SARS-CoV,"Xu J, Zhao S, Teng T, Abdalla AE, Zhu W, Xie L, Wang Y, Guo X.",Viruses. 2020 Feb 22;12(2):244. doi: 10.3390/v12020244.,Xu J,Viruses,2020,2/27/20,PMC7077191,,10.3390/v12020244
30209269,Genomic characterization and infectivity of a novel SARS-like coronavirus in Chinese bats,"Hu D, Zhu C, Ai L, He T, Wang Y, Ye F, Yang L, Ding C, Zhu X, Lv R, Zhu J, Hassan B, Feng Y, Tan W, Wang C.",Emerg Microbes Infect. 2018 Sep 12;7(1):154. doi: 10.1038/s41426-018-0155-5.,Hu D,Emerg Microbes Infect,2018,9/14/18,PMC6135831,,10.1038/s41426-018-0155-5
32226295,COVID-19: what has been learned and to be learned about the novel coronavirus disease,"Yi Y, Lagniton PNP, Ye S, Li E, Xu RH.",Int J Biol Sci. 2020 Mar 15;16(10):1753-1766. doi: 10.7150/ijbs.45134. eCollection 2020.,Yi Y,Int J Biol Sci,2020,4/1/20,PMC7098028,,10.7150/ijbs.45134
30665189,Viruses in bats and potential spillover to animals and humans,"Wang LF, Anderson DE.",Curr Opin Virol. 2019 Feb;34:79-89. doi: 10.1016/j.coviro.2018.12.007. Epub 2019 Jan 18.,Wang LF,Curr Opin Virol,2019,1/22/19,PMC7102861,,10.1016/j.coviro.2018.12.007
32015507,A pneumonia outbreak associated with a new coronavirus of probable bat origin,"Zhou P, Yang XL, Wang XG, Hu B, Zhang L, Zhang W, Si HR, Zhu Y, Li B, Huang CL, Chen HD, Chen J, Luo Y, Guo H, Jiang RD, Liu MQ, Chen Y, Shen XR, Wang X, Zheng XS, Zhao K, Chen QJ, Deng F, Liu LL, Yan B, Zhan FX, Wang YY, Xiao GF, Shi ZL.",Nature. 2020 Mar;579(7798):270-273. doi: 10.1038/s41586-020-2012-7. Epub 2020 Feb 3.,Zhou P,Nature,2020,2/5/20,PMC7095418,,10.1038/s41586-020-2012-7
29190287,Discovery of a rich gene pool of bat SARS-related coronaviruses provides new insights into the origin of SARS coronavirus,"Hu B, Zeng LP, Yang XL, Ge XY, Zhang W, Li B, Xie JZ, Shen XR, Zhang YZ, Wang N, Luo DS, Zheng XS, Wang MN, Daszak P, Wang LF, Cui J, Shi ZL.",PLoS Pathog. 2017 Nov 30;13(11):e1006698. doi: 10.1371/journal.ppat.1006698. eCollection 2017 Nov.,Hu B,PLoS Pathog,2017,12/1/17,PMC5708621,,10.1371/journal.ppat.1006698
31996437,Receptor Recognition by the Novel Coronavirus from Wuhan: an Analysis Based on Decade-Long Structural Studies of SARS Coronavirus,"Wan Y, Shang J, Graham R, Baric RS, Li F.",J Virol. 2020 Mar 17;94(7):e00127-20. doi: 10.1128/JVI.00127-20. Print 2020 Mar 17.,Wan Y,J Virol,2020,1/31/20,PMC7081895,,10.1128/JVI.00127-20
32203189,Characterization of the receptor-binding domain (RBD) of 2019 novel coronavirus: implication for development of RBD protein as a viral attachment inhibitor and vaccine,"Tai W, He L, Zhang X, Pu J, Voronin D, Jiang S, Zhou Y, Du L.",Cell Mol Immunol. 2020 Jun;17(6):613-620. doi: 10.1038/s41423-020-0400-4. Epub 2020 Mar 19.,Tai W,Cell Mol Immunol,2020,3/24/20,PMC7091888,,10.1038/s41423-020-0400-4
32269081,Phylogenetic network analysis of SARS-CoV-2 genomes,"Forster P, Forster L, Renfrew C, Forster M.",Proc Natl Acad Sci U S A. 2020 Apr 28;117(17):9241-9243. doi: 10.1073/pnas.2004999117. Epub 2020 Apr 8.,Forster P,Proc Natl Acad Sci U S A,2020,4/10/20,PMC7196762,,10.1073/pnas.2004999117
25810418,Middle East respiratory syndrome coronavirus: another zoonotic betacoronavirus causing SARS-like disease,"Chan JF, Lau SK, To KK, Cheng VC, Woo PC, Yuen KY.",Clin Microbiol Rev. 2015 Apr;28(2):465-522. doi: 10.1128/CMR.00102-14.,Chan JF,Clin Microbiol Rev,2015,3/27/15,PMC4402954,,10.1128/CMR.00102-14
24184128,"Ecology, evolution and classification of bat coronaviruses in the aftermath of SARS","Drexler JF, Corman VM, Drosten C.",Antiviral Res. 2014 Jan;101:45-56. doi: 10.1016/j.antiviral.2013.10.013. Epub 2013 Oct 31.,Drexler JF,Antiviral Res,2014,11/5/13,PMC7113851,,10.1016/j.antiviral.2013.10.013
31554686,Broad Cross-Species Infection of Cultured Cells by Bat HKU2-Related Swine Acute Diarrhea Syndrome Coronavirus and Identification of Its Replication in Murine Dendritic Cells In Vivo Highlight Its Potential for Diverse Interspecies Transmission,"Yang YL, Qin P, Wang B, Liu Y, Xu GH, Peng L, Zhou J, Zhu SJ, Huang YW.",J Virol. 2019 Nov 26;93(24):e01448-19. doi: 10.1128/JVI.01448-19. Print 2019 Dec 15.,Yang YL,J Virol,2019,9/27/19,PMC6880172,,10.1128/JVI.01448-19
32226285,SARS-CoV-2: an Emerging Coronavirus that Causes a Global Threat,Zheng J.,Int J Biol Sci. 2020 Mar 15;16(10):1678-1685. doi: 10.7150/ijbs.45053. eCollection 2020.,Zheng J,Int J Biol Sci,2020,4/1/20,PMC7098030,,10.7150/ijbs.45053
29618817,Fatal swine acute diarrhoea syndrome caused by an HKU2-related coronavirus of bat origin,"Zhou P, Fan H, Lan T, Yang XL, Shi WF, Zhang W, Zhu Y, Zhang YW, Xie QM, Mani S, Zheng XS, Li B, Li JM, Guo H, Pei GQ, An XP, Chen JW, Zhou L, Mai KJ, Wu ZX, Li D, Anderson DE, Zhang LB, Li SY, Mi ZQ, He TT, Cong F, Guo PJ, Huang R, Luo Y, Liu XL, Chen J, Huang Y, Sun Q, Zhang XL, Wang YY, Xing SZ, Chen YS, Sun Y, Li J, Daszak P, Wang LF, Shi ZL, Tong YG, Ma JY.",Nature. 2018 Apr;556(7700):255-258. doi: 10.1038/s41586-018-0010-9. Epub 2018 Apr 4.,Zhou P,Nature,2018,4/6/18,PMC7094983,NIHMS959840,10.1038/s41586-018-0010-9
30893947,Host Determinants of MERS-CoV Transmission and Pathogenesis,"Widagdo W, Sooksawasdi Na Ayudhya S, Hundie GB, Haagmans BL.",Viruses. 2019 Mar 19;11(3):280. doi: 10.3390/v11030280.,Widagdo W,Viruses,2019,3/22/19,PMC6466079,,10.3390/v11030280
18077725,Difference in receptor usage between severe acute respiratory syndrome (SARS) coronavirus and SARS-like coronavirus of bat origin,"Ren W, Qu X, Li W, Han Z, Yu M, Zhou P, Zhang SY, Wang LF, Deng H, Shi Z.",J Virol. 2008 Feb;82(4):1899-907. doi: 10.1128/JVI.01085-07. Epub 2007 Dec 12.,Ren W,J Virol,2008,12/14/07,PMC2258702,,10.1128/JVI.01085-07
32220310,A Genomic Perspective on the Origin and Emergence of SARS-CoV-2,"Zhang YZ, Holmes EC.",Cell. 2020 Apr 16;181(2):223-227. doi: 10.1016/j.cell.2020.03.035. Epub 2020 Mar 26.,Zhang YZ,Cell,2020,3/30/20,PMC7194821,,10.1016/j.cell.2020.03.035
30654269,Emerging and re-emerging coronaviruses in pigs,"Wang Q, Vlasova AN, Kenney SP, Saif LJ.",Curr Opin Virol. 2019 Feb;34:39-49. doi: 10.1016/j.coviro.2018.12.001. Epub 2019 Jan 14.,Wang Q,Curr Opin Virol,2019,1/18/19,PMC7102852,,10.1016/j.coviro.2018.12.001
30258004,Lysosomal Proteases Are a Determinant of Coronavirus Tropism,"Zheng Y, Shang J, Yang Y, Liu C, Wan Y, Geng Q, Wang M, Baric R, Li F.",J Virol. 2018 Nov 27;92(24):e01504-18. doi: 10.1128/JVI.01504-18. Print 2018 Dec 15.,Zheng Y,J Virol,2018,9/28/18,PMC6258935,,10.1128/JVI.01504-18
27287409,Airway Memory CD4(+) T Cells Mediate Protective Immunity against Emerging Respiratory Coronaviruses,"Zhao J, Zhao J, Mangalam AK, Channappanavar R, Fett C, Meyerholz DK, Agnihothram S, Baric RS, David CS, Perlman S.",Immunity. 2016 Jun 21;44(6):1379-91. doi: 10.1016/j.immuni.2016.05.006. Epub 2016 Jun 7.,Zhao J,Immunity,2016,6/12/16,PMC4917442,NIHMS786479,10.1016/j.immuni.2016.05.006
32235085,The novel zoonotic COVID-19 pandemic: An expected global health concern,"Contini C, Di Nuzzo M, Barp N, Bonazza A, De Giorgio R, Tognon M, Rubino S.",J Infect Dev Ctries. 2020 Mar 31;14(3):254-264. doi: 10.3855/jidc.12671.,Contini C,J Infect Dev Ctries,2020,4/3/20,,,10.3855/jidc.12671
17934078,Severe acute respiratory syndrome coronavirus as an agent of emerging and reemerging infection,"Cheng VC, Lau SK, Woo PC, Yuen KY.",Clin Microbiol Rev. 2007 Oct;20(4):660-94. doi: 10.1128/CMR.00023-07.,Cheng VC,Clin Microbiol Rev,2007,10/16/07,PMC2176051,,10.1128/CMR.00023-07
32405028,Infection of bat and human intestinal organoids by SARS-CoV-2,"Zhou J, Li C, Liu X, Chiu MC, Zhao X, Wang D, Wei Y, Lee A, Zhang AJ, Chu H, Cai JP, Yip CC, Chan IH, Wong KK, Tsang OT, Chan KH, Chan JF, To KK, Chen H, Yuen KY.",Nat Med. 2020 Jul;26(7):1077-1083. doi: 10.1038/s41591-020-0912-6. Epub 2020 May 13.,Zhou J,Nat Med,2020,5/15/20,,,10.1038/s41591-020-0912-6
32253226,An orally bioavailable broad-spectrum antiviral inhibits SARS-CoV-2 in human airway epithelial cell cultures and multiple coronaviruses in mice,"Sheahan TP, Sims AC, Zhou S, Graham RL, Pruijssers AJ, Agostini ML, Leist SR, Schäfer A, Dinnon KH 3rd, Stevens LJ, Chappell JD, Lu X, Hughes TM, George AS, Hill CS, Montgomery SA, Brown AJ, Bluemling GR, Natchus MG, Saindane M, Kolykhalov AA, Painter G, Harcourt J, Tamin A, Thornburg NJ, Swanstrom R, Denison MR, Baric RS.",Sci Transl Med. 2020 Apr 29;12(541):eabb5883. doi: 10.1126/scitranslmed.abb5883. Epub 2020 Apr 6.,Sheahan TP,Sci Transl Med,2020,4/8/20,PMC7164393,,10.1126/scitranslmed.abb5883
28500431,Molecular aspects of MERS-CoV,"Rabaan AA, Bazzi AM, Al-Ahmed SH, Al-Tawfiq JA.",Front Med. 2017 Sep;11(3):365-377. doi: 10.1007/s11684-017-0521-z. Epub 2017 May 13.,Rabaan AA,Front Med,2017,5/14/17,PMC7089120,,10.1007/s11684-017-0521-z
32197085,Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,"Zhang T, Wu Q, Zhang Z.",Curr Biol. 2020 Apr 6;30(7):1346-1351.e2. doi: 10.1016/j.cub.2020.03.022. Epub 2020 Mar 19.,Zhang T,Curr Biol,2020,3/21/20,PMC7156161,,10.1016/j.cub.2020.03.022
32218151,Structural Genomics of SARS-CoV-2 Indicates Evolutionary Conserved Functional Regions of Viral Proteins,"Srinivasan S, Cui H, Gao Z, Liu M, Lu S, Mkandawire W, Narykov O, Sun M, Korkin D.",Viruses. 2020 Mar 25;12(4):360. doi: 10.3390/v12040360.,Srinivasan S,Viruses,2020,3/29/20,PMC7232164,,10.3390/v12040360
30646569,Advances in MERS-CoV Vaccines and Therapeutics Based on the Receptor-Binding Domain,"Zhou Y, Yang Y, Huang J, Jiang S, Du L.",Viruses. 2019 Jan 14;11(1):60. doi: 10.3390/v11010060.,Zhou Y,Viruses,2019,1/17/19,PMC6357101,,10.3390/v11010060
28214731,Jumping species-a mechanism for coronavirus persistence and survival,"Menachery VD, Graham RL, Baric RS.",Curr Opin Virol. 2017 Apr;23:1-7. doi: 10.1016/j.coviro.2017.01.002. Epub 2017 Mar 31.,Menachery VD,Curr Opin Virol,2017,2/20/17,PMC5474123,NIHMS853079,10.1016/j.coviro.2017.01.002
32088679,"2019-nCoV (Wuhan virus), a novel Coronavirus: human-to-human transmission, travel-related cases, and vaccine readiness","Ralph R, Lew J, Zeng T, Francis M, Xue B, Roux M, Toloue Ostadgavahi A, Rubino S, Dawe NJ, Al-Ahdal MN, Kelvin DJ, Richardson CD, Kindrachuk J, Falzarano D, Kelvin AA.",J Infect Dev Ctries. 2020 Jan 31;14(1):3-17. doi: 10.3855/jidc.12425.,Ralph R,J Infect Dev Ctries,2020,2/24/20,,,10.3855/jidc.12425
23486063,Dipeptidyl peptidase 4 is a functional receptor for the emerging human coronavirus-EMC,"Raj VS, Mou H, Smits SL, Dekkers DH, Müller MA, Dijkman R, Muth D, Demmers JA, Zaki A, Fouchier RA, Thiel V, Drosten C, Rottier PJ, Osterhaus AD, Bosch BJ, Haagmans BL.",Nature. 2013 Mar 14;495(7440):251-4. doi: 10.1038/nature12005.,Raj VS,Nature,2013,3/15/13,PMC7095326,,10.1038/nature12005
32226286,Zoonotic origins of human coronaviruses,"Ye ZW, Yuan S, Yuen KS, Fung SY, Chan CP, Jin DY.",Int J Biol Sci. 2020 Mar 15;16(10):1686-1697. doi: 10.7150/ijbs.45472. eCollection 2020.,Ye ZW,Int J Biol Sci,2020,4/1/20,PMC7098031,,10.7150/ijbs.45472
24626235,Severe acute respiratory syndrome vs. the Middle East respiratory syndrome,"Hui DS, Memish ZA, Zumla A.",Curr Opin Pulm Med. 2014 May;20(3):233-41. doi: 10.1097/MCP.0000000000000046.,Hui DS,Curr Opin Pulm Med,2014,3/15/14,,,10.1097/MCP.0000000000000046
29482919,SARS-CoV related Betacoronavirus and diverse Alphacoronavirus members found in western old-world,"Ar Gouilh M, Puechmaille SJ, Diancourt L, Vandenbogaert M, Serra-Cobo J, Lopez Roïg M, Brown P, Moutou F, Caro V, Vabret A, Manuguerra JC; EPICOREM consortium.",Virology. 2018 Apr;517:88-97. doi: 10.1016/j.virol.2018.01.014. Epub 2018 Feb 23.,Ar Gouilh M,Virology,2018,2/28/18,PMC7112086,,10.1016/j.virol.2018.01.014
27255185,Middle East Respiratory Syndrome Coronavirus (MERS-CoV) origin and animal reservoir,"Mohd HA, Al-Tawfiq JA, Memish ZA.",Virol J. 2016 Jun 3;13:87. doi: 10.1186/s12985-016-0544-0.,Mohd HA,Virol J,2016,6/4/16,PMC4891877,,10.1186/s12985-016-0544-0
30634396,Bats and Coronaviruses,"Banerjee A, Kulcsar K, Misra V, Frieman M, Mossman K.",Viruses. 2019 Jan 9;11(1):41. doi: 10.3390/v11010041.,Banerjee A,Viruses,2019,1/13/19,PMC6356540,,10.3390/v11010041
32138266,Potential Factors Influencing Repeated SARS Outbreaks in China,"Sun Z, Thilakavathy K, Kumar SS, He G, Liu SV.",Int J Environ Res Public Health. 2020 Mar 3;17(5):1633. doi: 10.3390/ijerph17051633.,Sun Z,Int J Environ Res Public Health,2020,3/7/20,PMC7084229,,10.3390/ijerph17051633
32027036,Genomic variance of the 2019-nCoV coronavirus,"Ceraolo C, Giorgi FM.",J Med Virol. 2020 May;92(5):522-528. doi: 10.1002/jmv.25700. Epub 2020 Feb 19.,Ceraolo C,J Med Virol,2020,2/7/20,PMC7166773,,10.1002/jmv.25700
19546349,"Coronavirus diversity, phylogeny and interspecies jumping","Woo PC, Lau SK, Huang Y, Yuen KY.",Exp Biol Med (Maywood). 2009 Oct;234(10):1117-27. doi: 10.3181/0903-MR-94. Epub 2009 Jun 22.,Woo PC,Exp Biol Med (Maywood),2009,6/24/09,,,10.3181/0903-MR-94
31645223,Serological evidence of MERS-CoV and HKU8-related CoV co-infection in Kenyan camels,"Zhang W, Zheng XS, Agwanda B, Ommeh S, Zhao K, Lichoti J, Wang N, Chen J, Li B, Yang XL, Mani S, Ngeiywa KJ, Zhu Y, Hu B, Onyuok SO, Yan B, Anderson DE, Wang LF, Zhou P, Shi ZL.",Emerg Microbes Infect. 2019;8(1):1528-1534. doi: 10.1080/22221751.2019.1679610.,Zhang W,Emerg Microbes Infect,2019,10/25/19,PMC6818114,,10.1080/22221751.2019.1679610
31727466,Focus on Middle East respiratory syndrome coronavirus (MERS-CoV),"Bleibtreu A, Bertine M, Bertin C, Houhou-Fidouh N, Visseaux B.",Med Mal Infect. 2020 May;50(3):243-251. doi: 10.1016/j.medmal.2019.10.004. Epub 2019 Nov 11.,Bleibtreu A,Med Mal Infect,2020,11/16/19,PMC7125975,,10.1016/j.medmal.2019.10.004
32380510,Isolation of SARS-CoV-2-related coronavirus from Malayan pangolins,"Xiao K, Zhai J, Feng Y, Zhou N, Zhang X, Zou JJ, Li N, Guo Y, Li X, Shen X, Zhang Z, Shu F, Huang W, Li Y, Zhang Z, Chen RA, Wu YJ, Peng SM, Huang M, Xie WJ, Cai QH, Hou FH, Chen W, Xiao L, Shen Y.",Nature. 2020 Jul;583(7815):286-289. doi: 10.1038/s41586-020-2313-x. Epub 2020 May 7.,Xiao K,Nature,2020,5/8/20,,,10.1038/s41586-020-2313-x
