Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Binding and dissociation kinetics of wild-type and mutant streptavidins on mixed biotin-containing alkylthiolate monolayers,"Jung, LS; Nelson, KE; Stayton, PS; Campbell, CT",,,,LANGMUIR,NOV 28 2000,2000,16,24,,,,9421,9432,,10.1021/la000144r,,,192,9.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,10,17,12,8,13,16,18,15,5,16,12,7,7,4,10,9,2,1,0
Ecological dynamics of emerging bat virus spillover,"Plowright, Raina K.; Eby, Peggy; Hudson, Peter J.; Smith, Ina L.; Westcott, David; Bryden, Wayne L.; Middleton, Deborah; Reid, Peter A.; McFarlane, Rosemary A.; Martin, Gerardo; Tabor, Gary M.; Skerratt, Lee F.; Anderson, Dale L.; Crameri, Gary; Quammen, David; Jordan, David; Freeman, Paul; Wang, Lin-Fa; Epstein, Jonathan H.; Marsh, Glenn A.; Kung, Nina Y.; McCallum, Hamish",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,JAN 7 2015,2015,282,1798,,,,,,20142124,10.1098/rspb.2014.2124,,,188,31.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,30,32,36,41,27,0
A SARS-like cluster of circulating bat coronaviruses shows potential for human emergence,"Menachery, Vineet D.; Yount, Boyd L., Jr.; Debbink, Kari; Agnihothram, Sudhakar; Gralinski, Lisa E.; Plante, Jessica A.; Graham, Rachel L.; Scobey, Trevor; Ge, Xing-Yi; Donaldson, Eric F.; Randell, Scott H.; Lanzavecchia, Antonio; Marasco, Wayne A.; Shi, Zhengli-Li; Baric, Ralph S.",,,,NATURE MEDICINE,DEC 2015,2015,21,12,,,,1508,+,,10.1038/nm.3985,,,187,31.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26,18,17,103,0
Prevalence and genetic diversity of coronaviruses in bats from China,"Tang, X. C.; Zhang, J. X.; Zhang, S. Y.; Wang, P.; Fan, X. H.; Li, L. F.; Li, G.; Dong, B. Q.; Liu, W.; Cheung, C. L.; Xu, K. M.; Song, W. J.; Vijaykrishna, D.; Poon, L. L. M.; Peiris, J. S. M.; Smith, G. J. D.; Chen, H.; Guan, Y.",,,,JOURNAL OF VIROLOGY,AUG 2006,2006,80,15,,,,7481,7490,,10.1128/JVI.00697-06,,,186,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,17,14,19,13,8,13,10,15,10,11,11,13,17,0
Biodiversity and its conservation in the Sundarban Mangrove Ecosystem,"Gopal, Brij; Chauhan, Malavika",,,,AQUATIC SCIENCES,OCT 2006,2006,68,3,,,,338,354,,10.1007/s00027-006-0868-8,,,184,12.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,9,8,9,13,16,14,20,28,20,29,9,0
Cross-species transmission of the newly identified coronavirus 2019-nCoV,"Ji, Wei; Wang, Wei; Zhao, Xiaofang; Zai, Junjie; Li, Xingguang",,,,JOURNAL OF MEDICAL VIROLOGY,APR 2020,2020,92,4,,,SI,433,440,,10.1002/jmv.25682,,,163,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,162,0
Bats are a major natural reservoir for hepaciviruses and pegiviruses,"Quan, Phenix-Lan; Firth, Cadhla; Conte, Juliette M.; Williams, Simon H.; Zambrana-Torrelio, Carlos M.; Anthony, Simon J.; Ellison, James A.; Gilbert, Amy T.; Kuzmin, Ivan V.; Niezgoda, Michael; Osinubi, Modupe O. V.; Recuenco, Sergio; Markotter, Wanda; Breiman, Robert F.; Kalemba, Lems; Malekani, Jean; Lindblade, Kim A.; Rostal, Melinda K.; Ojeda-Flores, Rafael; Suzan, Gerardo; Davis, Lora B.; Blau, Dianna M.; Ogunkoya, Albert B.; Alvarez Castillo, Danilo A.; Moran, David; Ngam, Sali; Akaibe, Dudu; Agwanda, Bernard; Briese, Thomas; Epstein, Jonathan H.; Daszak, Peter; Rupprecht, Charles E.; Holmes, Edward C.; Lipkin, W. Ian",,,,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,MAY 14 2013,2013,110,20,,,,8194,8199,,10.1073/pnas.1303037110,,,153,19.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,27,31,19,18,19,15,13,0
Salmonella typhimurium apparently perceives external nitrogen limitation as internal glutamine limitation,"Ikeda, TP; Shauger, AE; Kustu, S",,,,JOURNAL OF MOLECULAR BIOLOGY,JUN 21 1996,1996,259,4,,,,589,607,,10.1006/jmbi.1996.0342,,,147,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,5,7,6,9,6,11,11,8,8,4,14,5,6,4,0,1,8,4,4,2,3,0
Fatal swine acute diarrhoea syndrome caused by an HKU2-related coronavirus of bat origin,"Zhou, Peng; Fan, Hang; Lan, Tian; Yang, Xing-Lou; Shi, Wei-Feng; Zhang, Wei; Zhu, Yan; Zhang, Ya-Wei; Xie, Qing-Mei; Mani, Shailendra; Zheng, Xiao-Shuang; Li, Bei; Li, Jin-Man; Guo, Hua; Pei, Guang-Qian; An, Xiao-Ping; Chen, Jun-Wei; Zhou, Ling; Mai, Kai-Jie; Wu, Zi-Xian; Li, Di; Anderson, Danielle E.; Zhang, Li-Biao; Li, Shi-Yue; Mi, Zhi-Qiang; He, Tong-Tong; Cong, Feng; Guo, Peng-Ju; Huang, Ren; Luo, Yun; Liu, Xiang-Ling; Chen, Jing; Huang, Yong; Sun, Qiang; Zhang, Xiang-Li-Lan; Wang, Yuan-Yuan; Xing, Shao-Zhen; Chen, Yan-Shan; Sun, Yuan; Li, Juan; Daszak, Peter; Wang, Lin-Fa; Shi, Zheng-Li; Tong, Yi-Gang; Ma, Jing-Yun",,,,NATURE,APR 12 2018,2018,556,7700,,,,255,+,,10.1038/s41586-018-0010-9,,,146,48.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,54,78,0
"Selection, evolution of behavior and animal models in behavioral neuroscience","Parmigiani, S; Palanza, P; Rodgers, J; Ferrari, PF",,,,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,NOV 1999,1999,23,7,,,,957,970,,10.1016/S0149-7634(99)00029-9,Workshop on Ethology and Biomedical Science,"DEC 01-06, 1998",145,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,9,7,9,12,12,11,8,7,6,8,3,8,5,7,1,8,6,2,4,0
Sterol regulatory element-binding proteins induce an entire pathway of cholesterol synthesis,"Sakakura, Y; Shimano, H; Sone, H; Takahashi, A; Inoue, K; Toyoshima, H; Suzuki, S; Yamada, N",,,,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,AUG 10 2001,2001,286,1,,,,176,183,,10.1006/bbrc.2001.5375,,,142,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,9,9,13,5,8,4,8,4,7,9,5,6,6,7,9,3,12,7,0
Genealogy profiling through strain improvement by using metabolic network analysis: Metabolic flux genealogy of several generations of lysine-producing corynebacteria,"Wittmann, C; Heinzle, E",,,,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,DEC 2002,2002,68,12,,,,5843,5859,,10.1128/AEM.68.12.5843-5859.2002,,,141,7.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,15,11,11,7,9,9,13,10,11,5,7,3,2,8,3,2,0
Identifying SARS-CoV-2-related coronaviruses in Malayan pangolins,"Lam, Tommy Tsan-Yuk; Jia, Na; Zhang, Ya-Wei; Shum, Marcus Ho-Hin; Jiang, Jia-Fu; Zhu, Hua-Chen; Tong, Yi-Gang; Shi, Yong-Xia; Ni, Xue-Bing; Liao, Yun-Shi; Li, Wen-Juan; Jiang, Bao-Gui; Wei, Wei; Yuan, Ting-Ting; Zheng, Kui; Cui, Xiao-Ming; Li, Jie; Pei, Guang-Qian; Qiang, Xin; Cheung, William Yiu-Man; Li, Lian-Feng; Sun, Fang-Fang; Qin, Si; Huang, Ji-Cheng; Leung, Gabriel M.; Holmes, Edward C.; Hu, Yan-Ling; Guan, Yi; Cao, Wu-Chun",,,,NATURE,JUL 9 2020,2020,583,7815,,,,282,+,,10.1038/s41586-020-2169-0,,,138,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0
Identifying SARS-CoV-2-related coronaviruses in Malayan pangolins,"Lam, Tommy Tsan-Yuk; Jia, Na; Zhang, Ya-Wei; Shum, Marcus Ho-Hin; Jiang, Jia-Fu; Zhu, Hua-Chen; Tong, Yi-Gang; Shi, Yong-Xia; Ni, Xue-Bing; Liao, Yun-Shi; Li, Wen-Juan; Jiang, Bao-Gui; Wei, Wei; Yuan, Ting-Ting; Zheng, Kui; Cui, Xiao-Ming; Li, Jie; Pei, Guang-Qian; Qiang, Xin; Cheung, William Yiu-Man; Li, Lian-Feng; Sun, Fang-Fang; Qin, Si; Huang, Ji-Cheng; Leung, Gabriel M.; Holmes, Edward C.; Hu, Yan-Ling; Guan, Yi; Cao, Wu-Chun",,,,NATURE,JUL 9 2020,2020,583,7815,,,,282,+,,10.1038/s41586-020-2169-0,,,138,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0
Evolutionary insights into the ecology of coronaviruses,"Vijaykrishna, D.; Smith, G. J. D.; Zhang, J. X.; Peiris, J. S. M.; Chen, H.; Guan, Y.",,,,JOURNAL OF VIROLOGY,APR 2007,2007,81,8,,,,4012,4020,,10.1128/JVI.02605-06,,,132,9.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,15,14,12,9,11,9,6,10,8,6,4,12,0
Comparative Analysis of Complete Genome Sequences of Three Avian Coronaviruses Reveals a Novel Group 3c Coronavirus,"Woo, Patrick C. Y.; Lau, Susanna K. P.; Lam, Carol S. F.; Lai, Kenneth K. Y.; Huang, Yi; Lee, Paul; Luk, Geraldine S. M.; Dyrting, Kitman C.; Chan, Kwok-Hung; Yuen, Kwok-Yung",,,,JOURNAL OF VIROLOGY,JAN 15 2009,2009,83,2,,,,908,917,,10.1128/JVI.01977-08,,,128,10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,12,11,8,10,14,14,7,4,8,13,0
Interspecies transmission and emergence of novel viruses: lessons from bats and birds,"Chan, Jasper Fuk-Woo; To, Kelvin Kai-Wang; Tse, Herman; Jin, Dong-Yan; Yuen, Kwok-Yung",,,,TRENDS IN MICROBIOLOGY,OCT 2013,2013,21,10,,,,544,555,,10.1016/j.tim.2013.05.005,,,126,15.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,19,19,12,14,11,31,0
