"","X.1","X","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_genus_notes","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","sample_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","gene_targets_simplified","euthanasia","euthanasia_simplified","method_specific_simplified","virus_genus_simplified","spec","species_for_reader","family"
"11",303,303,287,"bat coronaviruses and experimental infection of bats, the philippines","Watanabe et al.","Emerg Infect Dis",2010,3,2,0.666667,"Eonycteris spelaea","betacoronavirus",NA,"","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","Philippines","N","Los Baños","",NA,NA,"2008",NA,"",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","intestine","tissue",1,0,0,0,NA,NA,"RdRp","Yes, for this study","Yes","PCR","betacoronavirus",1,"Eonycteris spelaea","PTEROPODIDAE"
"12",304,304,288,"bat coronaviruses and experimental infection of bats, the philippines","Watanabe et al.","Emerg Infect Dis",2010,14,11,0.785714,"Ptenochirus jagori","betacoronavirus",NA,"","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","Philippines","N","Los Baños","",NA,NA,"2008",NA,"",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","intestine","tissue",1,0,0,0,NA,NA,"RdRp","Yes, for this study","Yes","PCR","betacoronavirus",1,"Ptenochirus jagori","PTEROPODIDAE"
"13",305,305,289,"bat coronaviruses and experimental infection of bats, the philippines","Watanabe et al.","Emerg Infect Dis",2010,1,1,1,"Cynopterus brachyotis","betacoronavirus",NA,"","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","Philippines","N","Diliman","Site A",NA,NA,"2008",NA,"",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","intestine","tissue",1,0,0,0,NA,NA,"RdRp","Yes, for this study","Yes","PCR","betacoronavirus",1,"Cynopterus brachyotis","PTEROPODIDAE"
"14",306,306,290,"bat coronaviruses and experimental infection of bats, the philippines","Watanabe et al.","Emerg Infect Dis",2010,1,1,1,"Eonycteris spelaea","betacoronavirus",NA,"","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","Philippines","N","Diliman","Site A",NA,NA,"2008",NA,"",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","intestine","tissue",1,0,0,0,NA,NA,"RdRp","Yes, for this study","Yes","PCR","betacoronavirus",1,"Eonycteris spelaea","PTEROPODIDAE"
"15",308,308,292,"bat coronaviruses and experimental infection of bats, the philippines","Watanabe et al.","Emerg Infect Dis",2010,1,1,1,"Eonycteris spelaea","betacoronavirus",NA,"","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","Philippines","N","Diliman","Site B",NA,NA,"2008",NA,"",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","intestine","tissue",1,0,0,0,NA,NA,"RdRp","Yes, for this study","Yes","PCR","betacoronavirus",1,"Eonycteris spelaea","PTEROPODIDAE"
"16",311,311,295,"bat coronaviruses and experimental infection of bats, the philippines","Watanabe et al.","Emerg Infect Dis",2010,18,6,0.333333,"Cynopterus brachyotis","betacoronavirus",NA,"","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","Philippines","N","Diliman","Site C",NA,NA,"2008",NA,"",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","intestine","tissue",1,0,0,0,NA,NA,"RdRp","Yes, for this study","Yes","PCR","betacoronavirus",1,"Cynopterus brachyotis","PTEROPODIDAE"
"17",313,313,297,"bat coronaviruses and experimental infection of bats, the philippines","Watanabe et al.","Emerg Infect Dis",2010,1,1,1,"Rousettus amplexicaudatus","betacoronavirus",NA,"","","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"intestines","Philippines","N","Diliman","Site C",NA,NA,"2008",NA,"",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","intestine","tissue",1,0,0,0,NA,NA,"RdRp","Yes, for this study","Yes","PCR","betacoronavirus",1,"Rousettus amplexicaudatus","PTEROPODIDAE"
"18",314,314,309,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,110,0,0,"Rousettus leschenaulti","betacoronavirus",NA,"Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N"," Guangxi","Nanning",NA,NA,"2004",NA,"",NA,"","March","Spring",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","faecal, rectal, or anal","swab",0,0,0,1,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Rousettus leschenaultii","PTEROPODIDAE"
"19",315,315,310,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,45,0,0,"Rousettus leschenaulti","betacoronavirus",NA,"Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Guangdong","Maoming",NA,NA,"2004",NA,"",NA,"","March","Spring",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","faecal, rectal, or anal","swab",0,0,0,1,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Rousettus leschenaultii","PTEROPODIDAE"
"20",316,316,311,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,27,0,0,"Cynopterus sphinx","betacoronavirus",NA,"Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Guangdong","Maoming",NA,NA,"2004",NA,"",NA,"","March","Spring",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","faecal, rectal, or anal","swab",0,0,0,1,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Cynopterus sphinx","PTEROPODIDAE"
"21",317,317,312,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,55,0,0,"Rousettus leschenaulti","betacoronavirus",NA,"Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Guangxi","Nanning",NA,NA,"2004",NA,"",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","faecal, rectal, or anal","swab",1,0,0,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Rousettus leschenaultii","PTEROPODIDAE"
"22",318,318,313,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,21,0,0,"Myotis ricketti","betacoronavirus",NA,"Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Tianjin","",NA,NA,"2004",NA,"",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","faecal, rectal, or anal","swab",1,0,0,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Myotis pilosus","VESPERTILIONIDAE"
"23",319,319,314,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,15,0,0,"Rhinolophus pusillus","betacoronavirus",NA,"Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Hubei","Yichang",NA,NA,"2004",NA,"",NA,"","November","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","swab",0,1,0,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Rhinolophus pusillus","RHINOLOPHIDAE"
"24",320,320,315,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,8,1,0.125,"Rhinolophus ferrumequinum","betacoronavirus",NA,"Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Hubei","Yichang",NA,NA,"2004",NA,"",NA,"","November","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","swab",0,1,0,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Rhinolophus ferrumequinum","RHINOLOPHIDAE"
"25",321,321,316,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,8,1,0.125,"Rhinolophus macrotis","betacoronavirus",NA,"Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Hubei","Yichang",NA,NA,"2004",NA,"",NA,"","November","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","swab",0,1,0,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Rhinolophus macrotis","RHINOLOPHIDAE"
"26",322,322,317,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,1,0,0,"Nyctalus plancyi","betacoronavirus",NA,"Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Hubei","Yichang",NA,NA,"2004",NA,"",NA,"","November","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","swab",0,1,0,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Nyctalus plancyi","VESPERTILIONIDAE"
"27",323,323,318,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,1,0,0,"Miniopterus schreibersi","betacoronavirus",NA,"Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Hubei","Yichang",NA,NA,"2004",NA,"",NA,"","November","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","swab",0,1,0,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Miniopterus schreibersii","MINIOPTERIDAE"
"28",324,324,319,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,1,0,0,"Myotis altarium","betacoronavirus",NA,"Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Hubei","Yichang",NA,NA,"2004",NA,"",NA,"","November","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","swab",0,1,0,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Myotis altarium","VESPERTILIONIDAE"
"29",325,325,320,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,30,3,0.1,"Rhinolophus pearsoni","betacoronavirus",NA,"Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Guangxi","Nanning",NA,NA,"2004",NA,"",NA,"","December","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","faecal, rectal, or anal","swab",0,0,1,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Rhinolophus pearsonii","RHINOLOPHIDAE"
"30",326,326,321,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,6,0,0,"Rhinolophus pusillus","betacoronavirus",NA,"Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"faecal swab","China","N","Guangxi","Nanning",NA,NA,"2004",NA,"",NA,"","December","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","faecal, rectal, or anal","swab",0,0,1,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Rhinolophus pusillus","RHINOLOPHIDAE"
"31",327,327,322,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,55,0,0,"Rousettus leschenaulti","betacoronavirus",NA,"Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"respiratory swab","China","N","Guangxi","Nanning",NA,NA,"2004",NA,"",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","lung or respiratory","swab",1,0,0,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Rousettus leschenaultii","PTEROPODIDAE"
"32",328,328,323,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,21,0,0,"Myotis ricketti","betacoronavirus",NA,"Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"respiratory swab","China","N","Tianjin","",NA,NA,"2004",NA,"",NA,"","July","Summer",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","lung or respiratory","swab",1,0,0,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Myotis pilosus","VESPERTILIONIDAE"
"33",329,329,324,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,3,0,0,"Rhinolophus macrotis","betacoronavirus",NA,"Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"respiratory swab","China","N","Hubei","Yichang",NA,NA,"2004",NA,"",NA,"","November","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","lung or respiratory","swab",0,1,0,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Rhinolophus macrotis","RHINOLOPHIDAE"
"34",330,330,325,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,11,0,0,"Rhinolophus pearsoni","betacoronavirus",NA,"Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"respiratory swab","China","N","Guangxi","Nanning",NA,NA,"2004",NA,"",NA,"","December","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","lung or respiratory","swab",0,0,1,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Rhinolophus pearsonii","RHINOLOPHIDAE"
"35",331,331,326,"bats are natural reservoirs of sars-like coronaviruses","Li et al.","Science",2005,2,0,0,"Rhinolophus pusillus","betacoronavirus",NA,"Sarbecovirus","","","single","cross-sectional","RNA","PCR","single","ORF SARS-Cov Tor2",NA,"respiratory swab","China","N","Guangxi","Nanning",NA,NA,"2004",NA,"",NA,"","December","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:08pm","lung or respiratory","swab",0,0,1,0,NA,NA,"Other","No","No","PCR","betacoronavirus",1,"Rhinolophus pusillus","RHINOLOPHIDAE"
"36",347,347,375,"characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats","Wang et al.","Viruses",2019,499,2,0.004008,"Rhinolophus affinis","betacoronavirus",NA,"Sarbecovirus","","","pooled","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faecal swab/faeces","China","N","Guangdong, Guizhou, Hainan, Henan, Jiangsu, Yunnan, Zhejiang","",NA,NA,"",2004,"November",2014,"November","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:09pm","faecal, rectal, or anal","pooled",0,1,0,0,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Rhinolophus affinis","RHINOLOPHIDAE"
"37",348,348,377,"characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats","Wang et al.","Viruses",2019,238,12,0.05042,"Rhinolophus ferrumequinum","betacoronavirus",NA,"Sarbecovirus","","","pooled","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faecal swab/faeces","China","N","Beijing, Fujian, Gansu, Guizhou, Hebei, Henan, Shandong, Shanxi, Yunnan","",NA,NA,"",2004,"November",2014,"November","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:09pm","faecal, rectal, or anal","pooled",0,1,0,0,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Rhinolophus ferrumequinum","RHINOLOPHIDAE"
"38",349,349,380,"characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats","Wang et al.","Viruses",2019,31,1,0.032258,"Rhinolophus macrotis","betacoronavirus",NA,"Sarbecovirus","","","pooled","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faecal swab/faeces","China","N","Chongqing, Guangdong, Guangxi, Hebei, Hubei, Jiangsu, Beijing, Yunnan","",NA,NA,"",2004,"November",2014,"November","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:09pm","faecal, rectal, or anal","pooled",0,1,0,0,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Rhinolophus macrotis","RHINOLOPHIDAE"
"39",350,350,383,"characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats","Wang et al.","Viruses",2019,283,2,0.007067,"Rhinolophus pusillus","betacoronavirus",NA,"Sarbecovirus","","","pooled","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faecal swab/faeces","China","N","Fujian, Guangdong, Guangxi, Hebei, Henan, Hubei, Jiangsu, Shandong","",NA,NA,"",2004,"November",2014,"November","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:09pm","faecal, rectal, or anal","pooled",0,1,0,0,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Rhinolophus pusillus","RHINOLOPHIDAE"
"40",351,351,385,"characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats","Wang et al.","Viruses",2019,740,72,0.097297,"Rhinolophus sinicus","betacoronavirus",NA,"Sarbecovirus","","","pooled","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"faecal swab/faeces","China","N","Fujian, Guangdong, Guangxi, Guizhou, Hainan, Hubei, Hunan, Jiangsu, Sichuan, Yunnan, Zhejiang","",NA,NA,"",2004,"November",2014,"November","","Fall",NA,"","","","","VERENA Admin","4/12/2022 2:09pm","faecal, rectal, or anal","pooled",0,1,0,0,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Rhinolophus sinicus","RHINOLOPHIDAE"
"41",366,366,431,"circulation of group 2 coronaviruses in a bat species common to urban areas in western europe","Reusken et al.","Vector Borne Zoonotic Dis",2010,8,1,0.125,"Pipistrellus pipistrellus","betacoronavirus",NA,"","bat","","pooled","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Netherlands","N","","Noordwijkerhout, 's Gravenland, Doetinchem–De Huet, Doetinchem–Wijnbergen",NA,NA,"2008",NA,"",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:09pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Pipistrellus pipistrellus","VESPERTILIONIDAE"
"42",368,368,432,"close relative of human middle east respiratory syndrome coronavirus in bat, south africa","Ithete et al.","Emerg Infect Dis",2013,1,1,1,"Neoromicia cf. zuluensis","betacoronavirus",NA,"","bat","","single","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","South Africa","S","","?",NA,NA,"2011",NA,"",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:09pm","faecal, rectal, or anal","faeces",1,1,1,1,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Neoromicia zuluensis","VESPERTILIONIDAE"
"43",372,372,448,"coexistence of multiple coronaviruses in several bat colonies in an abandoned mineshaft","Ge et al.","Virol Sin",2016,106,1,0.009434,"Rhinolophus affinis","betacoronavirus",NA,"Sarbecovirus","","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"faeces","China","N","Yunnan","mineshaft in Mojing County",NA,NA,"",2012,"August",2013,"July","","Summer,Fall,Spring",NA,"","","","","VERENA Admin","4/12/2022 2:09pm","faecal, rectal, or anal","faeces",1,1,0,1,NA,NA,"RdRp","No","No","PCR","betacoronavirus",1,"Rhinolophus affinis","RHINOLOPHIDAE"
"44",383,383,496,"complete genome sequence of bat coronavirus hku2 from chinese horseshoe bats revealed a much smaller spike gene with a different evolutionary lineage from the rest of the genome","Lau et al.","Virology",2007,348,29,0.083333,"Rhinolophus sinicus","betacoronavirus",NA,"Sarbecovirus","bat","","pooled","cross-sectional","RNA","RT-PCR","single","RdRp",NA,"alimentary specimen","China","N","Hong Kong","",NA,NA,"",2004,"April",2006,"April","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:09pm","faecal, rectal, or anal","tissue",1,1,1,1,NA,NA,"RdRp","Yes, for this study","Yes","PCR","betacoronavirus",1,"Rhinolophus sinicus","RHINOLOPHIDAE"
