UniqueID,Field 25,author (from Imported table 2),journal (from Imported table 2),year (from Imported table 2),sample,positives,prevalence,bat_species,virus_genus,virus_subgenus,virus_species,virus_strain,detection_type,study_type,detection_method,method_specific,single/multiple PCR method,Primers,gene_targets,Terminal sampling?,tissue,country,state,site,longitude,latitude,sample_year,start_year,start_month,end_year,end_month,sample_season,# Sampling Trips,Sex Info?,Habitat Disturbance Info?,Coinfection Info?,Flag,Entered by,Last modified
13,a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys,Balboni et al.,Scientificworldjournal,2012,12,3,0.25,Rhinolophus ferrumequinum,betacoronavirus ,Sarbecovirus,,,single,cross-sectional,RNA,RT-PCR,single,,RdRp,,faeces,Italy,Cuneo,Rossana,,,2009,,,,,October,,,,,,VERENA Admin,7/19/2021 10:51am
14,a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys,Balboni et al.,Scientificworldjournal,2012,3,3,1,Rhinolophus ferrumequinum,betacoronavirus ,Sarbecovirus,,,single,cross-sectional,RNA,RT-PCR,single,,RdRp,,faeces,Italy,Savona,Giovo,,,2009,,,,,October,,,,,,VERENA Admin,7/19/2021 10:50am
15,a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys,Balboni et al.,Scientificworldjournal,2012,3,1,0.333333,Rhinolophus ferrumequinum,betacoronavirus ,Sarbecovirus,,,single,cross-sectional,RNA,RT-PCR,single,,RdRp,,faeces,Italy,Piacenza,Val di Trebbia,,,2009,,,,,October,,,,,,Binqi Chen,3/13/2021 5:57pm
16,a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys,Balboni et al.,Scientificworldjournal,2012,3,2,0.666667,Rhinolophus ferrumequinum,betacoronavirus ,Sarbecovirus,,,single,cross-sectional,RNA,RT-PCR,single,,RdRp,,faeces,Italy,Piacenza,Castell’arquato,,,2009,,,,,November,,,,,,Binqi Chen,3/13/2021 5:57pm
20,alphacoronavirus detected in bats in the united kingdom,August et al.,Vector-borne and Zoonotic Diseases,2012,16,12,0.75,Myotis nattereri,alphacoronavirus or betacoronavirus,,bat,,single,cross-sectional,RNA,semi-nested RT-PCR,multiple,,RdRp,,faeces,United Kingdom,Oxfordshire,Wytham Woods,"1º33'41""E","51º77'27""N",,2006,,2009,,,,,,,,VERENA Admin,7/19/2021 11:58am
21,alphacoronavirus detected in bats in the united kingdom,August et al.,Vector-borne and Zoonotic Diseases,2012,16,9,0.5625,Myotis nattereri,alphacoronavirus or betacoronavirus,,bat,,single,cross-sectional,RNA,semi-nested RT-PCR,multiple,,RdRp,,faeces,United Kingdom,Wiltshire,Savernake Forest,"1º67'75""E","51º39’96""N",,2006,,2009,,,,,,,,VERENA Admin,7/19/2021 11:58am
22,alphacoronavirus detected in bats in the united kingdom,August et al.,Vector-borne and Zoonotic Diseases,2012,30,5,0.166667,Myotis daubentonii,alphacoronavirus or betacoronavirus,,bat,,single,cross-sectional,RNA,semi-nested RT-PCR,multiple,,RdRp,,faeces,United Kingdom,Oxfordshire,Wytham Woods,"1º33'41""E","51º77'27""N",,2006,,2009,,,,,,,,VERENA Admin,7/19/2021 11:58am
23,alphacoronavirus detected in bats in the united kingdom,August et al.,Vector-borne and Zoonotic Diseases,2012,26,0,0,Plecotus auritus,alphacoronavirus or betacoronavirus,,,,single,cross-sectional,RNA,semi-nested RT-PCR,multiple,,RdRp,,faeces,United Kingdom,Oxfordshire,Wytham Woods,"1º33'41""E","51º77'27""N",,2006,,2009,,,,,,,,VERENA Admin,7/19/2021 11:41am
24,alphacoronavirus detected in bats in the united kingdom,August et al.,Vector-borne and Zoonotic Diseases,2012,15,0,0,Rhinolophus ferrumequinum,alphacoronavirus or betacoronavirus,,,,single,cross-sectional,RNA,semi-nested RT-PCR,multiple,,RdRp,,faeces,United Kingdom,SW England,,,,,2006,,2009,,,,,,,,VERENA Admin,7/19/2021 11:41am
26,alphacoronavirus detected in bats in the united kingdom,August et al.,Vector-borne and Zoonotic Diseases,2012,6,0,0,Rhinolophus hipposideros,alphacoronavirus or betacoronavirus,,,,single,cross-sectional,RNA,semi-nested RT-PCR,multiple,,RdRp,,faeces,United Kingdom,SW England,,,,,2006,,2009,,,,,,,,VERENA Admin,7/19/2021 11:41am
28,alphacoronavirus detected in bats in the united kingdom,August et al.,Vector-borne and Zoonotic Diseases,2012,2,0,0,Pipistrellus pipistrellus,alphacoronavirus or betacoronavirus,,,,single,cross-sectional,RNA,semi-nested RT-PCR,multiple,,RdRp,,faeces,United Kingdom,Wiltshire,Savernake Forest,"1º67'75""E","51º39’96""N",,2006,,2009,,,,,,,,VERENA Admin,7/19/2021 11:41am
30,alphacoronavirus detected in bats in the united kingdom,August et al.,Vector-borne and Zoonotic Diseases,2012,1,0,0,Barbastella barbastellus,alphacoronavirus or betacoronavirus,,,,single,cross-sectional,RNA,semi-nested RT-PCR,multiple,,RdRp,,faeces,United Kingdom,Wiltshire,Savernake Forest,"1º67'75""E","51º39’96""N",,2006,,2009,,,,,,,,VERENA Admin,7/19/2021 11:41am
31,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,14,5,0.357143,Molossus rufus,alphacoronavirus,,bat,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,liver,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 12:02pm
35,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,14,3,0.214286,Molossus rufus,alphacoronavirus,,bat,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,lung,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 12:02pm
36,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,14,1,0.071429,Molossus rufus,alphacoronavirus,,bat,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,intestines,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 12:02pm
37,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,1,1,1,Eptesicus,alphacoronavirus,,bat,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,lung,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 12:02pm
39,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,1,1,1,Eptesicus,alphacoronavirus,,bat,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,intestines,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 12:02pm
47,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,1,0,0,Eptesicus,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,liver,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
40,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,5,2,0.4,Phyllostomus discolor,alphacoronavirus,,bat,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,liver,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 12:02pm
41,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,5,0,0,Phyllostomus discolor,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,lung,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
42,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,5,0,0,Phyllostomus discolor,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,intestines,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
44,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,13,1,0.076923,Artibeus literatus,alphacoronavirus,,bat,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,liver,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 12:02pm
45,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,13,0,0,Artibeus literatus,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,lung,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
46,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,13,0,0,Artibeus literatus,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,intestines,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
49,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,1,0,0,Glossophaga soricina,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,liver,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
50,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,1,0,0,Glossophaga soricina,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,lung,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
51,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,1,1,1,Glossophaga soricina,alphacoronavirus,,bat,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,intestines,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 12:02pm
52,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,1,0,0,Phyllostomus hastatus,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,liver,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
54,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,1,0,0,Phyllostomus hastatus,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,lung,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
55,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,1,0,0,Phyllostomus hastatus,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,intestines,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
56,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,1,0,0,Nyctinomops laticaudatus,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,liver,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
57,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,1,0,0,Nyctinomops laticaudatus,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,lung,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
58,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,1,0,0,Nyctinomops laticaudatus,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,intestines,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
59,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,13,1,0.076923,Molossus molossus,alphacoronavirus,,bat,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,liver,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 12:02pm
60,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,13,0,0,Molossus molossus,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,lung,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
61,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,13,0,0,Molossus molossus,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,intestines,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
62,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,3,0,0,Eptesicus furinalis,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,liver,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
63,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,3,0,0,Eptesicus furinalis,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,lung,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
64,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,3,0,0,Eptesicus furinalis,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,intestines,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
66,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,1,0,0,Myotis nigricans,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,liver,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
67,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,1,0,0,Myotis nigricans,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,lung,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
68,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,1,0,0,Myotis nigricans,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,intestines,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
69,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,3,0,0,Artibeus planirostris,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,liver,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
70,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,3,0,0,Artibeus planirostris,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,lung,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
71,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,3,0,0,Artibeus planirostris,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,intestines,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
72,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,1,0,0,Carollia perspicillata,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,liver,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
73,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,1,0,0,Carollia perspicillata,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,lung,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
74,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,1,0,0,Carollia perspicillata,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,intestines,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
76,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,2,0,0,Vampyressa pussilla,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,liver,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
77,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,2,0,0,Vampyressa pussilla,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,lung,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
78,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,2,0,0,Vampyressa pussilla,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,intestines,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
75,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,1,0,0,Platyrrhinus lineatus,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,liver,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
81,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,1,0,0,Platyrrhinus lineatus,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,lung,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
82,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,1,0,0,Platyrrhinus lineatus,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,intestines,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
83,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,1,0,0,Sturnira lilium,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,liver,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
84,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,1,0,0,Sturnira lilium,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,lung,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
85,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,1,0,0,Sturnira lilium,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,intestines,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
86,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""",Bittar et al.,Microb Ecol,2020,1,0,0,Molossops temminckii,alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus,,,,single,cross-sectional,RNA,nested RT-PCR,multiple,,RdRp: nsP12,,liver,Brazil,São José do Rio Preto,,,,,,,,,,,,,,,VERENA Admin,7/19/2021 11:43am
