UniqueID,title,author (from Imported table 2),journal (from Imported table 2),year (from Imported table 2),sample,positives,prevalence,bat_species,virus_genus,virus_genus_notes,virus_subgenus,virus_species,virus_strain,detection_type,study_type,detection_method,method_specific,single/multiple PCR method,gene_targets,Terminal sampling?,tissue,country,country_hemisphere,state,site,longitude,latitude,sample_year,start_year,start_month,end_year,end_month,sample_season,sample_season_simplified,# Sampling Trips,Sex Info?,Habitat Disturbance Info?,Coinfection Info?,Flag,Entered by,Last modified
2190,viral diversity of bat communities in human-dominated landscapes in mexico,Chávez et al.,Veterinaria México OA,2015,152,2,0.013158,Artibeus jamaicensis,alphacoronavirus,,,,Mex Cov 5b,single,cross-sectional,RNA,RT-PCR,single,,,rectal swab,Mexico,N,Campeche,Reserva de la Biósfera Calakmul,,,,,,,,,NA,,N,"Y, Disturbed","Y, No co-infection",include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species,VERENA Admin,4/12/2022 2:02pm
2191,viral diversity of bat communities in human-dominated landscapes in mexico,Chávez et al.,Veterinaria México OA,2015,152,3,0.019737,Artibeus lituratus,alphacoronavirus,,,,Mex Cov 5b,single,cross-sectional,RNA,RT-PCR,single,,,rectal swab,Mexico,N,Campeche,Reserva de la Biósfera Calakmul,,,,,,,,,NA,,N,"Y, Disturbed","Y, No co-infection",include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species,VERENA Admin,4/12/2022 2:02pm
2192,viral diversity of bat communities in human-dominated landscapes in mexico,Chávez et al.,Veterinaria México OA,2015,152,1,0.006579,Artibeus lituratus,betacoronavirus ,,,,Mex Cov 11b,single,cross-sectional,RNA,RT-PCR,single,,,rectal swab,Mexico,N,Campeche,Reserva de la Biósfera Calakmul,,,,,,,,,NA,,N,"Y, Disturbed","Y, No co-infection",include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species,VERENA Admin,4/12/2022 2:02pm
2193,viral diversity of bat communities in human-dominated landscapes in mexico,Chávez et al.,Veterinaria México OA,2015,152,1,0.006579,Artibeus phaeotis,betacoronavirus ,,,,Mex Cov 11b,single,cross-sectional,RNA,RT-PCR,single,,,rectal swab,Mexico,N,Campeche,Reserva de la Biósfera Calakmul,,,,,,,,,NA,,N,"Y, Disturbed","Y, No co-infection",include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species,VERENA Admin,4/12/2022 2:02pm
2195,viral diversity of bat communities in human-dominated landscapes in mexico,Chávez et al.,Veterinaria México OA,2015,152,1,0.006579,Pteronotus parnellii,betacoronavirus ,,,,Mex Cov 10,single,cross-sectional,RNA,RT-PCR,single,,,rectal swab,Mexico,N,Campeche,Reserva de la Biósfera Calakmul,,,,,,,,,NA,,N,"Y, Disturbed","Y, No co-infection",include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species,VERENA Admin,4/12/2022 2:02pm
2196,viral diversity of bat communities in human-dominated landscapes in mexico,Chávez et al.,Veterinaria México OA,2015,65,1,0.015385,Carollia perspicillata,alphacoronavirus,,,,Mex Cov 1,single,cross-sectional,RNA,RT-PCR,single,,,rectal swab,Mexico,N,Campeche,Reserva de la Biósfera Calakmul,,,,,,,,,NA,,N,"Y, Fragmented","Y, No co-infection",include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species,VERENA Admin,4/12/2022 2:02pm
2197,viral diversity of bat communities in human-dominated landscapes in mexico,Chávez et al.,Veterinaria México OA,2015,65,3,0.046154,Carollia sowelli,alphacoronavirus,,,,"Mex Cov 1 (1), Mex Cov 2 (1), Mex Cov 5b (1)",single,cross-sectional,RNA,RT-PCR,single,,,rectal swab,Mexico,N,Campeche,Reserva de la Biósfera Calakmul,,,,,,,,,NA,,N,"Y, Fragmented","Y, No co-infection",include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species,VERENA Admin,4/25/2022 8:36pm
2201,viral diversity of bat communities in human-dominated landscapes in mexico,Chávez et al.,Veterinaria México OA,2015,65,1,0.015385,Artibeus jamaicensis,alphacoronavirus,,,,Mex Cov 4,single,cross-sectional,RNA,RT-PCR,single,,,rectal swab,Mexico,N,Campeche,Reserva de la Biósfera Calakmul,,,,,,,,,NA,,N,"Y, Fragmented","Y, No co-infection",include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species,VERENA Admin,4/12/2022 2:02pm
2203,viral diversity of bat communities in human-dominated landscapes in mexico,Chávez et al.,Veterinaria México OA,2015,65,1,0.015385,Nyctinomops laticaudatus,betacoronavirus ,,,,Mex Cov 9,single,cross-sectional,RNA,RT-PCR,single,,,rectal swab,Mexico,N,Campeche,Reserva de la Biósfera Calakmul,,,,,,,,,NA,,N,"Y, Fragmented","Y, No co-infection",include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species,VERENA Admin,4/12/2022 2:02pm
2204,viral diversity of bat communities in human-dominated landscapes in mexico,Chávez et al.,Veterinaria México OA,2015,102,1,0.009804,Carollia perspicillata,alphacoronavirus,,,,Mex Cov 1,single,cross-sectional,RNA,RT-PCR,single,,,rectal swab,Mexico,N,Campeche,Reserva de la Biósfera Calakmul,,,,,,,,,NA,,N,"Y, Disturbed","Y, No co-infection",include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species,VERENA Admin,4/12/2022 2:02pm
2205,viral diversity of bat communities in human-dominated landscapes in mexico,Chávez et al.,Veterinaria México OA,2015,102,1,0.009804,Carollia sowelli,alphacoronavirus,,,,Mex Cov 2,single,cross-sectional,RNA,RT-PCR,single,,,rectal swab,Mexico,N,Campeche,Reserva de la Biósfera Calakmul,,,,,,,,,NA,,N,"Y, Disturbed","Y, No co-infection",include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species,VERENA Admin,4/12/2022 2:02pm
2206,viral diversity of bat communities in human-dominated landscapes in mexico,Chávez et al.,Veterinaria México OA,2015,102,1,0.009804,Artibeus lituratus,betacoronavirus ,,,,Mex Cov 11a,single,cross-sectional,RNA,RT-PCR,single,,,rectal swab,Mexico,N,Campeche,Reserva de la Biósfera Calakmul,,,,,,,,,NA,,N,"Y, Disturbed","Y, No co-infection",include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species,VERENA Admin,4/12/2022 2:02pm
2208,viral diversity of bat communities in human-dominated landscapes in mexico,Chávez et al.,Veterinaria México OA,2015,10,1,0.100000,Myotis velifer,alphacoronavirus,,,,Mex Cov 7,single,cross-sectional,RNA,RT-PCR,single,,,rectal swab,Mexico,N,Greater Mexico City,"Distrito Federal, Metropolitan Area",,,,,,,,,NA,,N,"Y, Fragmented","Y, No co-infection",include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species,VERENA Admin,4/12/2022 2:02pm
2209,viral diversity of bat communities in human-dominated landscapes in mexico,Chávez et al.,Veterinaria México OA,2015,49,2,0.040816,Myotis velifer,alphacoronavirus,,,,Mex Cov 7,single,cross-sectional,RNA,RT-PCR,single,,,rectal swab,Mexico,N,Greater Mexico City,"Distrito Federal, Metropolitan Area",,,,,,,,,NA,,N,"Y, Urban","Y, No co-infection",include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species,VERENA Admin,4/12/2022 2:02pm
2210,viral diversity of bat communities in human-dominated landscapes in mexico,Chávez et al.,Veterinaria México OA,2015,49,3,0.061224,Tadarida brasiliensis,alphacoronavirus,,,,Mex Cov 8,single,cross-sectional,RNA,RT-PCR,single,,,rectal swab,Mexico,N,Greater Mexico City,"Distrito Federal, Metropolitan Area",,,,,,,,,NA,,N,"Y, Urban","Y, No co-infection",include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species,VERENA Admin,4/12/2022 2:02pm
2367,genomic characterization of severe acute respiratory syndrome-related coronavirus in european bats and classification of coronaviruses based on partial rna-dependent rna polymerase gene sequences,Drexler et al.,J Virol,2010,38,14,0.368421,Miniopterus schreibersii,alphacoronavirus,,,,HKU7 related,single,cross-sectional,RNA,RT-PCR,single,RdRp,,faeces,Bulgaria,N,,Roman Horse Cave,"27°12'31.3""E","42°5'30.7""N",2008,,,,,April,Spring,,Y,Y,N,"do not use in analyses (no coinfection information though there is coinfection present, no genus-level estimate)",VERENA Admin,4/25/2022 9:50pm
2368,genomic characterization of severe acute respiratory syndrome-related coronavirus in european bats and classification of coronaviruses based on partial rna-dependent rna polymerase gene sequences,Drexler et al.,J Virol,2010,38,14,0.368421,Miniopterus schreibersii,alphacoronavirus,,,,HKU8 related,single,cross-sectional,RNA,RT-PCR,single,RdRp,,faeces,Bulgaria,N,,Roman Horse Cave,"27°12'31.3""E","42°5'30.7""N",2008,,,,,April,Spring,,Y,Y,N,"do not use in analyses (no coinfection information though there is coinfection present, no genus-level estimate)",VERENA Admin,4/25/2022 9:50pm
2369,genomic characterization of severe acute respiratory syndrome-related coronavirus in european bats and classification of coronaviruses based on partial rna-dependent rna polymerase gene sequences,Drexler et al.,J Virol,2010,38,18,0.473684,Miniopterus schreibersii,alphacoronavirus,,,,BtCoV1A related,single,cross-sectional,RNA,RT-PCR,single,RdRp,,faeces,Bulgaria,N,,Roman Horse Cave,"27°12'31.3""E","42°5'30.7""N",2008,,,,,April,Spring,,Y,Y,N,"do not use in analyses (no coinfection information though there is coinfection present, no genus-level estimate)",VERENA Admin,4/25/2022 9:50pm
1120,longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,44,11,0.250000,Pteropus lylei,genus not specified,"unique IDs 1120-1122 and 2945-2956 include 4 alphacoronaviruses and 64 betacoronaviruses, but impossible to know from tables 1 & 2 which are which",,,,pooled,longitudinal,RNA,hemi-nested RT-PCR,multiple,RdRp,,rectal swab,Thailand,N,Chonburi,"S1 (house), Luang temple","101809054.9""E","13830018.9""N",2012,,January,,December,,Year,,"Y, 220 male and 147 female","Y, two human dwellings, pig farm","Y, multiple strains of the same βCoV species",airtable double counts by including study table 1 (ID 1120-1122)+ table 2 (ID 2945-2956): study included in binary analyses but not prevalence estimates,VERENA Admin,4/26/2022 1:08pm
1121,longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,99,35,0.353535,Pteropus lylei,genus not specified,"unique IDs 1120-1122 and 2945-2956 include 4 alphacoronaviruses and 64 betacoronaviruses, but impossible to know from tables 1 & 2 which are which",,,,pooled,longitudinal,RNA,hemi-nested RT-PCR,multiple,RdRp,,rectal swab,Thailand,N,Chonburi,"S2 (pig farm), Luang temple","101809054.9""E","13830018.9""N",2012,,January,,December,,Year,,"Y, 220 male and 147 female","Y, two human dwellings, pig farm","Y, multiple strains of the same βCoV species",airtable double counts by including study table 1 (ID 1120-1122)+ table 2 (ID 2945-2956): study included in binary analyses but not prevalence estimates,VERENA Admin,4/26/2022 1:08pm
1122,longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,224,22,0.098214,Pteropus lylei,genus not specified,"unique IDs 1120-1122 and 2945-2956 include 4 alphacoronaviruses and 64 betacoronaviruses, but impossible to know from tables 1 & 2 which are which",,,,pooled,longitudinal,RNA,hemi-nested RT-PCR,multiple,RdRp,,rectal swab,Thailand,N,Chonburi,"S3 (roost), Luang temple","101809054.9""E","13830018.9""N",2012,,January,,December,,Year,,"Y, 220 male and 147 female","Y, two human dwellings, pig farm","Y, multiple strains of the same βCoV species",airtable double counts by including study table 1 (ID 1120-1122)+ table 2 (ID 2945-2956): study included in binary analyses but not prevalence estimates,VERENA Admin,4/26/2022 1:08pm
2945,longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,14,4,0.285714,Pteropus lylei,genus not specified,"unique IDs 1120-1122 and 2945-2956 include 4 alphacoronaviruses and 64 betacoronaviruses, but impossible to know from tables 1 & 2 which are which",,,,pooled,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,,rectal swab,Thailand,N,Chonburi,"S1, S2, S3 (pooled)",,,2012,,,,,January,Winter,,,,,airtable double counts by including study table 1 (ID 1120-1122)+ table 2 (ID 2945-2956): study included in binary analyses but not prevalence estimates,VERENA Admin,4/26/2022 1:08pm
2946,longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,14,0,0.000000,Pteropus lylei,genus not specified,"unique IDs 1120-1122 and 2945-2956 include 4 alphacoronaviruses and 64 betacoronaviruses, but impossible to know from tables 1 & 2 which are which",,,,pooled,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,,rectal swab,Thailand,N,Chonburi,"S1, S2, S3 (pooled)",,,2012,,,,,February,Winter,,,,,airtable double counts by including study table 1 (ID 1120-1122)+ table 2 (ID 2945-2956): study included in binary analyses but not prevalence estimates,VERENA Admin,4/26/2022 1:08pm
2947,longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,20,0,0.000000,Pteropus lylei,genus not specified,"unique IDs 1120-1122 and 2945-2956 include 4 alphacoronaviruses and 64 betacoronaviruses, but impossible to know from tables 1 & 2 which are which",,,,pooled,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,,rectal swab,Thailand,N,Chonburi,"S1, S2, S3 (pooled)",,,2012,,,,,March,Spring,,,,,airtable double counts by including study table 1 (ID 1120-1122)+ table 2 (ID 2945-2956): study included in binary analyses but not prevalence estimates,VERENA Admin,4/26/2022 1:08pm
2948,longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,46,2,0.043478,Pteropus lylei,genus not specified,"unique IDs 1120-1122 and 2945-2956 include 4 alphacoronaviruses and 64 betacoronaviruses, but impossible to know from tables 1 & 2 which are which",,,,pooled,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,,rectal swab,Thailand,N,Chonburi,"S1, S2, S3 (pooled)",,,2012,,,,,April,Spring,,,,,airtable double counts by including study table 1 (ID 1120-1122)+ table 2 (ID 2945-2956): study included in binary analyses but not prevalence estimates,VERENA Admin,4/26/2022 1:08pm
2949,longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,39,16,0.410256,Pteropus lylei,genus not specified,"unique IDs 1120-1122 and 2945-2956 include 4 alphacoronaviruses and 64 betacoronaviruses, but impossible to know from tables 1 & 2 which are which",,,,pooled,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,,rectal swab,Thailand,N,Chonburi,"S1, S2, S3 (pooled)",,,2012,,,,,May,Spring,,,,,airtable double counts by including study table 1 (ID 1120-1122)+ table 2 (ID 2945-2956): study included in binary analyses but not prevalence estimates,VERENA Admin,4/26/2022 1:08pm
2950,longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,29,14,0.482759,Pteropus lylei,genus not specified,"unique IDs 1120-1122 and 2945-2956 include 4 alphacoronaviruses and 64 betacoronaviruses, but impossible to know from tables 1 & 2 which are which",,,,pooled,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,,rectal swab,Thailand,N,Chonburi,"S1, S2, S3 (pooled)",,,2012,,,,,June,Summer,,,,,airtable double counts by including study table 1 (ID 1120-1122)+ table 2 (ID 2945-2956): study included in binary analyses but not prevalence estimates,VERENA Admin,4/26/2022 1:08pm
2951,longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,46,14,0.304348,Pteropus lylei,genus not specified,"unique IDs 1120-1122 and 2945-2956 include 4 alphacoronaviruses and 64 betacoronaviruses, but impossible to know from tables 1 & 2 which are which",,,,pooled,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,,rectal swab,Thailand,N,Chonburi,"S1, S2, S3 (pooled)",,,2012,,,,,July,Summer,,,,,airtable double counts by including study table 1 (ID 1120-1122)+ table 2 (ID 2945-2956): study included in binary analyses but not prevalence estimates,VERENA Admin,4/26/2022 1:08pm
2952,longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,35,9,0.257143,Pteropus lylei,genus not specified,"unique IDs 1120-1122 and 2945-2956 include 4 alphacoronaviruses and 64 betacoronaviruses, but impossible to know from tables 1 & 2 which are which",,,,pooled,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,,rectal swab,Thailand,N,Chonburi,"S1, S2, S3 (pooled)",,,2012,,,,,August,Summer,,,,,airtable double counts by including study table 1 (ID 1120-1122)+ table 2 (ID 2945-2956): study included in binary analyses but not prevalence estimates,VERENA Admin,4/26/2022 1:08pm
2953,longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,35,6,0.171429,Pteropus lylei,genus not specified,"unique IDs 1120-1122 and 2945-2956 include 4 alphacoronaviruses and 64 betacoronaviruses, but impossible to know from tables 1 & 2 which are which",,,,pooled,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,,rectal swab,Thailand,N,Chonburi,"S1, S2, S3 (pooled)",,,2012,,,,,September,Fall,,,,,airtable double counts by including study table 1 (ID 1120-1122)+ table 2 (ID 2945-2956): study included in binary analyses but not prevalence estimates,VERENA Admin,4/26/2022 1:08pm
2954,longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,27,3,0.111111,Pteropus lylei,genus not specified,"unique IDs 1120-1122 and 2945-2956 include 4 alphacoronaviruses and 64 betacoronaviruses, but impossible to know from tables 1 & 2 which are which",,,,pooled,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,,rectal swab,Thailand,N,Chonburi,"S1, S2, S3 (pooled)",,,2012,,,,,October,Fall,,,,,airtable double counts by including study table 1 (ID 1120-1122)+ table 2 (ID 2945-2956): study included in binary analyses but not prevalence estimates,VERENA Admin,4/26/2022 1:08pm
2955,longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,36,0,0.000000,Pteropus lylei,genus not specified,"unique IDs 1120-1122 and 2945-2956 include 4 alphacoronaviruses and 64 betacoronaviruses, but impossible to know from tables 1 & 2 which are which",,,,pooled,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,,rectal swab,Thailand,N,Chonburi,"S1, S2, S3 (pooled)",,,2012,,,,,November,Fall,,,,,airtable double counts by including study table 1 (ID 1120-1122)+ table 2 (ID 2945-2956): study included in binary analyses but not prevalence estimates,VERENA Admin,4/26/2022 1:08pm
2956,longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand,Wacharapluesadee et al.,Virol J,2018,26,0,0.000000,Pteropus lylei,genus not specified,"unique IDs 1120-1122 and 2945-2956 include 4 alphacoronaviruses and 64 betacoronaviruses, but impossible to know from tables 1 & 2 which are which",,,,pooled,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,,rectal swab,Thailand,N,Chonburi,"S1, S2, S3 (pooled)",,,2012,,,,,December,Winter,,,,,airtable double counts by including study table 1 (ID 1120-1122)+ table 2 (ID 2945-2956): study included in binary analyses but not prevalence estimates,VERENA Admin,4/26/2022 1:08pm
1,a coronavirus detected in the vampire bat desmodus rotundus,Brandão et al.,Braz J Infect Dis,2008,3,1,0.333333,Desmodus rotundus,betacoronavirus ,,,bat,BatCoV DR/2007,pooled,cross-sectional,RNA,"RT-PCR,nested RT-PCR",multiple,ORF 1b,,enteric content,Brazil,S,Sao Paulo,,,,2005,,,,,,Year,,,,,,VERENA Admin,4/12/2022 2:05pm
2,"""a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat""",Subudhi et al.,J Gen Virol,2017,47,17,0.361702,Myotis lucifugus,alphacoronavirus,,Colacovirus,bat,Myl-CoV CDPHE15,repeat,longitudinal,RNA,semi-nested RT-PCR,multiple,RdRp,,intestines,Canada,N,Manitoba,,,,2011,,,,,winter,Winter,,,,,,VERENA Admin,4/12/2022 2:05pm
3,"""a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat""",Subudhi et al.,J Gen Virol,2017,127,36,0.283465,Myotis lucifugus,alphacoronavirus,,Colacovirus,bat,Myl-CoV CDPHE15,repeat,longitudinal,RNA,semi-nested RT-PCR,multiple,RdRp,,intestines,Canada,N,Manitoba,,,,2012,,,,,winter,Winter,,,,,,VERENA Admin,4/12/2022 2:05pm
4,"""a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat""",Subudhi et al.,J Gen Virol,2017,174,5,0.028736,Myotis lucifugus,alphacoronavirus,,Colacovirus,bat,Myl-CoV CDPHE15,pooled,longitudinal,IHC,,,,,lung,Canada,N,Manitoba,,,,,2011,,2012,,winter,Winter,,,,,,VERENA Admin,4/12/2022 2:06pm
9,a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys,Balboni et al.,Scientificworldjournal,2012,11,10,0.909091,Rhinolophus ferrumequinum,betacoronavirus ,,Sarbecovirus,,,single,cross-sectional,RNA,RT-PCR,single,RdRp,,faeces,Italy,N,Modena ,San Cesario sul Panaro,,,2009,,,,,August,Summer,,,,,,VERENA Admin,4/12/2022 2:05pm
