title,author,journal,year,doi,ID,study,source,exclude_title,exclude_reason,include,entered
a need for standardized rabies-virus diagnostic procedures: effect of cover-glass mountant on the reliability of antigen detection by the fluorescent antibody test,Rudd et al.,Virus Research,2005,10.1016/j.virusres.2005.03.014,22,Rudd et al. 2005 Virus Research,CAB,Y,not batcov,,
"a new bat-hku2-like coronavirus in swine, china, 2017",Gong et al.,Emerg Infect Dis,2017,10.3201/eid2309.170915,23,Gong et al. 2017 Emerg Infect Dis,PubMed,Y,no bat,,
a new black fly species of simulium (gomphostilbia) (diptera: simuliidae) from thailand,Takaoka et al.,Journal of Medical Entomology,2017,10.1093/jme/tjx147,24,Takaoka et al. 2017 Journal of Medical Entomology,CAB,Y,not batcov,,
a novel bat coronavirus closely related to sars-cov-2 contains natural insertions at the s1/s2 cleavage site of the spike protein,Zhou et al.,Curr Biol,2020,10.1016/j.cub.2020.05.023,25,Zhou et al. 2020 Curr Biol,PubMed,N,,Y,
"a novel bat herpesvirus encodes homologues of major histocompatibility complex classes i and ii, c-type lectin, and a unique family of immune-related genes",Zhang HuaJun et al.,Journal of Virology,2012,10.1128/JVI.00723-12,26,Zhang HuaJun et al. 2012 Journal of Virology,CAB,Y,no cov,,
"a novel coronavirus, mers-cov",Mizutani,Uirusu,2013,10.2222/jsv.63.1,27,Mizutani 2013 Uirusu,PubMed,Y,general review,,
a novel pathogenic mammalian orthoreovirus from diarrheic pigs and swine blood meal in the united states,Thimmasandra et al.,Mbio,2015,10.1128/mBio.00593-15,28,Thimmasandra et al. 2015 Mbio,PubMed,Y,no cov,,
a palindromic rna sequence as a common breakpoint contributor to copy-choice recombination in sars-cov-2,Gallaher,Archives of Virology,2020,10.1007/s00705-020-04750-z,29,Gallaher 2020 Archives of Virology,WOS,Y,no bat,,
"a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat",Subudhi et al.,J Gen Virol,2017,10.1099/jgv.0.000898,30,Subudhi et al. 2017 J Gen Virol,PubMed,N,,Y,
a pneumonia outbreak associated with a new coronavirus of probable bat origin,Zhou et al.,Nature,2020,10.1038/s41586-020-2012-7,31,Zhou et al. 2020 Nature,PubMed,Y,no bat,,
a prospective power analysis and review of habitat characteristics used in studies of tree-roosting bats,Lacki & Baker,Acta Chiropterologica,2003,10.3161/001.005.0211,32,Lacki & Baker 2003 Acta Chiropterologica,WOS,Y,no cov,,
a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys,Balboni et al.,Scientificworldjournal,2012,10.1100/2012/989514,33,Balboni et al. 2012 Scientificworldjournal,PubMed,N,,Y,
a review of leptospirosis in malaysia,Bahaman & Ibrahim,Veterinary Research Communications,1988,10.1007/BF00362799,34,Bahaman & Ibrahim 1988 Veterinary Research Communications,CAB,Y,not batcov,,
a review of studies on animal reservoirs of the sars coronavirus,Shi & Hu,Virus Res,2008,10.1016/j.virusres.2007.03.012,35,Shi & Hu 2008 Virus Res,PubMed,Y,general review,,
"a review of the economics of the prevention and control of rabies part 2: rabies in dogs, livestock and wildlife",Meltzer & Rupprecht,Pharmacoeconomics,1998,10.2165/00019053-199814050-00003,36,Meltzer & Rupprecht 1998 Pharmacoeconomics,WOS,Y,not batcov,,
a roadmap for survey designs in terrestrial acoustic monitoring,Moreira sugai et al.,Remote Sensing In Ecology and Conservation,2019,10.1002/rse2.131,37,Moreira sugai et al. 2019 Remote Sensing In Ecology and Conservation,WOS,Y,not batcov,,
a sars-like cluster of circulating bat coronaviruses shows potential for human emergence,Menachery et al.,Nature Medicine,2015,10.1038/nm.3985,38,Menachery et al. 2015 Nature Medicine,WOS,Y,no bat,,
a study of a crude oil spill site for selected metal concentrations remediated by a controlled burning in southwest louisiana,Sneddon et al.,Microchemical Journal,2006,10.1016/j.microc.2005.06.006,39,Sneddon et al. 2006 Microchemical Journal,WOS,Y,not batcov,,
a study of mini-grid concept for unelectrified village in thailand,Ketjoy et al.,"Energy & Environment - a World of Challenges and Opportunities, Proceedings",2003,,40,"Ketjoy et al. 2003 Energy & Environment - a World of Challenges and Opportunities, Proceedings",WOS,Y,not batcov,,
"a study of the circulation of west nile virus in mosquitoes in a potential high-risk area for arbovirus circulation in the netherlands, ""de oostvaardersplassen""",Reusken et al.,,2010,,41,Reusken et al. 2010 ,CAB,Y,not batcov,,
"a study of the circulation of west nile virus, sindbis virus, batai virus and usutu virus in mosquitoes in a potential high-risk area for arbovirus circulation in the netherlands, ""de oostvaardersplassen""",Reusken et al.,,2011,,42,Reusken et al. 2011 ,CAB,Y,not batcov,,
a survey for batrachochytrium salamandrivorans in chinese amphibians,Zhu et al.,Current Zoology,2014,10.1093/czoolo/60.6.729,43,Zhu et al. 2014 Current Zoology,WOS,Y,not batcov,,
a survey of fallow practices and weed floras in wheat stubble and grain-sorghum in northern new-south-wales,Felton et al.,Australian Journal of Experimental Agriculture,1994,10.1071/EA9940229,44,Felton et al. 1994 Australian Journal of Experimental Agriculture,WOS,Y,not batcov,,
a technique for rapidly quantifying mammal hair morphology for zoological research,Davis,Folia Zoologica,2010,,45,Davis 2010 Folia Zoologica,WOS,Y,not batcov,,
a viral metagenomic survey identifies known and novel mammalian viruses in bats from saudi arabia,Mishra et al.,Plos One,2019,10.1371/journal.pone.0214227,46,Mishra et al. 2019 Plos One,PubMed,N,,Y,
a wireless sensor system for long-term microclimate monitoring in wildland cultural heritage sites,Xia ming et al.,Proceedings of The 2008 International Symposium On Parallel and Distributed Processing With Applications,2008,10.1109/ISPA.2008.75,47,Xia ming et al. 2008 Proceedings of The 2008 International Symposium On Parallel and Distributed Processing With Applications,WOS,Y,not batcov,,
abortion by the tsetse fly glossina palpalis palpalis after treatment with insecticides,Riordan,Entomologia Experimentalis et Applicata,1986,10.1007/BF00195577,48,Riordan 1986 Entomologia Experimentalis et Applicata,CAB,Y,not batcov,,
absence of hantavirus in water voles and eurasian beavers in britain,Girling et al.,Veterinary Record,2019,10.1136/vr.105246,49,Girling et al. 2019 Veterinary Record,WOS,Y,not batcov,,
accelerated cataract formation and reduced lens epithelial water permeability in aquaporin-1-deficient mice,Ruiz-ederra & Verkman,Investigative Ophthalmology & Visual Science,2006,10.1167/iovs.06-0229,50,Ruiz-ederra & Verkman 2006 Investigative Ophthalmology & Visual Science,WOS,Y,not batcov,,
"accelerated viral dynamics in bat cell lines, with implications for zoonotic emergence",Brook et al.,Elife,2020,10.7554/eLife.48401,51,Brook et al. 2020 Elife,PubMed,Y,theory,,
accounting for location uncertainty in azimuthal telemetry data improves ecological inference,Gerber et al.,Movement Ecology,2018,10.1186/s40462-018-0129-1,52,Gerber et al. 2018 Movement Ecology,WOS,Y,not batcov,,
activation of rnase l in egyptian rousette bat-derived roni/7 cells is dependent primarily on oas3 and independent of mavs signaling,Li et al.,Mbio,2019,10.1128/mBio.02414-19,53,Li et al. 2019 Mbio,WOS,Y,molecular,,
activity of insecticidal bacillus thuringiensis var israelensis strains stored by various methods,Ermolova et al.,Sel'skokhozyaistvennaya Biologiya,2018,10.15389/agrobiology.2018.1.201eng,54,Ermolova et al. 2018 Sel'skokhozyaistvennaya Biologiya,CAB,Y,not batcov,,
adaptive evolution of bat dipeptidyl peptidase 4 (dpp4): implications for the origin and emergence of middle east respiratory syndrome coronavirus,Cui et al.,Virol J,2013,10.1186/1743-422X-10-304,55,Cui et al. 2013 Virol J,PubMed,Y,molecular,,
adaptive evolution of mers-cov to species variation in dpp4,Letko et al.,Cell Rep,2018,10.1016/j.celrep.2018.07.045,56,Letko et al. 2018 Cell Rep,PubMed,Y,molecular,,
advanced backcross qtl analysis in a cross between an elite processing line of tomato and its wild relative l-pimpinellifolium,Tanksley et al.,Theoretical and Applied Genetics,1996,,57,Tanksley et al. 1996 Theoretical and Applied Genetics,WOS,Y,not batcov,,
advances in mers-cov vaccines and therapeutics based on the receptor-binding domain,Zhou et al.,Viruses,2019,10.3390/v11010060,58,Zhou et al. 2019 Viruses,PubMed,Y,therapy,,
advances in the researches of genomic characterization and molecular detection of middel east respiratory syndrome coronavirus,Zhao & Tan,Zhonghua Yu Fang Yi Xue Za Zhi,2015,,59,Zhao & Tan 2015 Zhonghua Yu Fang Yi Xue Za Zhi,PubMed,Y,general review,,
airport expansion and endangered bats: development and mitigation actions near the indianapolis international airport,Divoll & O'keefe,Transportation Research Record,2018,10.1177/0361198118799711,60,Divoll & O'keefe 2018 Transportation Research Record,WOS,Y,not batcov,,
airway memory cd4(+) t cells mediate protective immunity against emerging respiratory coronaviruses,Zhao et al.,Immunity,2016,10.1016/j.immuni.2016.05.006,61,Zhao et al. 2016 Immunity,PubMed,Y,molecular,,
alpha and lineage c betacov infections in italian bats,De et al.,Virus Genes,2014,10.1007/s11262-013-1008-x,62,De et al. 2014 Virus Genes,PubMed,N,,Y,
alphacoronavirus detected in bats in the united kingdom,August et al.,Vector-borne and Zoonotic Diseases,2012,10.1089/vbz.2011.0829,63,August et al. 2012 Vector-borne and Zoonotic Diseases,WOS,N,,Y,
"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil",Bittar et al.,Microb Ecol,2020,10.1007/s00248-019-01391-x,64,Bittar et al. 2020 Microb Ecol,PubMed,N,,Y,
"alphacoronavirus in urban molossidae and phyllostomidae bats, brazil",Asano et al.,Virol J,2016,10.1186/s12985-016-0569-4,65,Asano et al. 2016 Virol J,PubMed,N,,Y,
alphacoronaviruses detected in french bats are phylogeographically linked to coronaviruses of european bats,Goffard et al.,Viruses,2015,10.3390/v7122937,66,Goffard et al. 2015 Viruses,PubMed,N,,Y,
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,10.1371/journal.pone.0019156,67,Osborne et al. 2011 Plos One,PubMed,N,,Y,
alternative stable states and the role of fire-vegetation-soil feedbacks in the temperate wilderness of southwest tasmania,Wood & Bowman,Landscape Ecology,2012,10.1007/s10980-011-9677-0,68,Wood & Bowman 2012 Landscape Ecology,WOS,Y,not batcov,,
"amblyomma aureolatum (pallas, 1772) and amblyomma ovale koch, 1844 (acari: ixodidae): hosts, distribution and 16s rdna sequences",Guglielmone et al.,Veterinary Parasitology,2003,10.1016/S0304-4017(03)00083-9,69,Guglielmone et al. 2003 Veterinary Parasitology,CAB,Y,not batcov,,
amplification and cloning of angtiotension-coverting enzyme 2 gene from rhinolophus sinicus by race technique,Gao Jun et al.,China Tropical Medicine,2009,,70,Gao Jun et al. 2009 China Tropical Medicine,CAB,Y,molecular,,
amplification of emerging viruses in a bat colony,Drexler et al.,Emerg Infect Dis,2011,10.3201/eid1703.100526,71,Drexler et al. 2011 Emerg Infect Dis,PubMed,N,,Y,
"an emerging coronavirus causing pneumonia outbreak in wuhan, china: calling for developing therapeutic and prophylactic strategies",Jiang et al.,Emerg Microbes Infect,2020,10.1080/22221751.2020.1723441,72,Jiang et al. 2020 Emerg Microbes Infect,PubMed,Y,general review,,
an epidemiological investigation of bats carrying sars-cov in guangzhou and its vicinity,Li et al.,Nan Fang Yi Ke Da Xue Xue Bao,2006,,73,Li et al. 2006 Nan Fang Yi Ke Da Xue Xue Bao,PubMed,N,,Y,
an exclusive 42 amino acid signature in pp1ab protein provides insights into the evolutive history of the 2019 novel human-pathogenic coronavirus (sars-cov-2),Cárdenas-conejo et al.,J Med Virol,2020,10.1002/jmv.25758,74,Cárdenas-conejo et al. 2020 J Med Virol,PubMed,Y,molecular,,
an extensive meta-metagenomic search identifies sars-cov-2-homologous sequences in pangolin lung viromes,Wahba et al.,Msphere,2020,10.1128/mSphere.00160-20,75,Wahba et al. 2020 Msphere,PubMed,Y,no bat,,
an immunodominant and conserved b-cell epitope in the envelope of simian foamy virus recognized by humans infected with zoonotic strains from apes,Lambert et al.,Journal of Virology,2019,10.1128/jvi.00068-19,76,Lambert et al. 2019 Journal of Virology,CAB,Y,not batcov,,
an inexpensive satellite-download gps receiver for wildlife: field trial on black swans,Lehrke et al.,Wildlife Research,2017,10.1071/WR17064,77,Lehrke et al. 2017 Wildlife Research,WOS,Y,not batcov,,
an infrared video camera system for monitoring diurnal and nocturnal raptors,Delaney et al.,Journal of Raptor Research,1998,,78,Delaney et al. 1998 Journal of Raptor Research,WOS,Y,not batcov,,
an orally bioavailable broad-spectrum antiviral inhibits sars-cov-2 in human airway epithelial cell cultures and multiple coronaviruses in mice,Sheahan et al.,Sci Transl Med,2020,10.1126/scitranslmed.abb5883,79,Sheahan et al. 2020 Sci Transl Med,PubMed,Y,no bat,,
an outbreak of arbovirus infection in the tajik ssr caused by issyk-kul' virus (issyk-kul' fever),L'vov et al.,Voprosy Virusologii,1984,,80,L'vov et al. 1984 Voprosy Virusologii,CAB,Y,not batcov,,
an untold story of middleboxes in cellular networks,Wang et al.,Acm Sigcomm Computer Communication Review,2011,10.1145/2043164.2018479,81,Wang et al. 2011 Acm Sigcomm Computer Communication Review,WOS,Y,not batcov,,
an unusual group of hero stones,Storm,Ars Orientalis,2014,,82,Storm 2014 Ars Orientalis,WOS,Y,not batcov,,
"an update on the origin of sars-cov-2: despite closest identity, bat (ratg13) and pangolin derived coronaviruses varied in the critical binding site and o-linked glycan residues",Malaiyan et al.,Journal of Medical Virology,2020,10.1002/jmv.26261,83,Malaiyan et al. 2020 Journal of Medical Virology,WOS,Y,molecular,,
analysing speech for clinical applications,Trancoso et al.,"Statistical Language and Speech Processing, Slsp 2018",2018,10.1007/978-3-030-00810-9_1,84,"Trancoso et al. 2018 Statistical Language and Speech Processing, Slsp 2018",WOS,Y,not batcov,,
analysis of cathepsin and furin proteolytic enzymes involved in viral fusion protein activation in cells of the bat reservoir host,El et al.,Plos One,2015,10.1371/journal.pone.0115736,85,El et al. 2015 Plos One,PubMed,Y,molecular,,
analysis of preferred codon usage in the coronavirus n genes and their implications for genome evolution and vaccine design,Sheikh et al.,J Virol Methods,2020,10.1016/j.jviromet.2019.113806,86,Sheikh et al. 2020 J Virol Methods,PubMed,Y,molecular,,
analysis of sars-coronavirus genome,Fukushi,Nihon Rinsho,2010,,87,Fukushi 2010 Nihon Rinsho,PubMed,Y,molecular,,
analysis of the hosts and transmission paths of sars-cov-2 in the covid-19 outbreak,Dong et al.,Genes (basel),2020,10.3390/genes11060637,88,Dong et al. 2020 Genes (basel),PubMed,Y,molecular,,
analysis of variation and evolution of sars-cov-2 genome,Zhou et al.,Nan Fang Yi Ke Da Xue Xue Bao,2020,10.12122/j.issn.1673-4254.2020.02.02,89,Zhou et al. 2020 Nan Fang Yi Ke Da Xue Xue Bao,PubMed,Y,molecular,,
anatomical and histological structure of the tongue and histochemical characteristics of the lingual salivary glands in the persian squirrel (sciurus anomalus),Sadeghinezhad et al.,Anatomical Science International,2018,10.1007/s12565-016-0367-5,90,Sadeghinezhad et al. 2018 Anatomical Science International,WOS,Y,not batcov,,
androgenetic doubled haploids induced without irradiation of eggs in loach (misgurnus anguillicaudatus),Hou et al.,Aquaculture,2014,10.1016/j.aquaculture.2013.05.021,91,Hou et al. 2014 Aquaculture,WOS,Y,not batcov,,
"angiolo del santo, a sculptor dedicated to graphic work on the covers of 'vita d'arte'",Nardo,Prospettiva-rivista Di Storia Dell Arte Antica E Moderna,2016,,92,Nardo 2016 Prospettiva-rivista Di Storia Dell Arte Antica E Moderna,WOS,Y,not batcov,,
angiotensin-converting enzyme 2 (ace2) from raccoon dog can serve as an efficient receptor for the spike protein of severe acute respiratory syndrome coronavirus,Xu et al.,J Gen Virol,2009,10.1099/vir.0.013490-0,93,Xu et al. 2009 J Gen Virol,PubMed,Y,molecular,,
angiotensin-converting enzyme 2 (ace2) proteins of different bat species confer variable susceptibility to sars-cov entry,Hou et al.,Arch Virol,2010,10.1007/s00705-010-0729-6,94,Hou et al. 2010 Arch Virol,PubMed,Y,no cov,,
animal bites - guidelines to current management,Anderson,Postgraduate Medicine,1992,,95,Anderson 1992 Postgraduate Medicine,WOS,Y,not batcov,,
anopheles culicifacies breeding in brackish waters in sri lanka and implications for malaria control,Jude et al.,Malaria Journal,2010,,96,Jude et al. 2010 Malaria Journal,CAB,Y,not batcov,,
anti-severe acute respiratory syndrome coronavirus spike antibodies trigger infection of human immune cells via a ph- and cysteine protease-independent fcγr pathway,Jaume et al.,J Virol,2011,10.1128/JVI.00671-11,97,Jaume et al. 2011 J Virol,PubMed,Y,molecular,,
antigen capture enzyme-linked immunosorbent assay for detecting middle east respiratory syndrome coronavirus in humans,Fung et al.,Methods Mol Biol,2020,10.1007/978-1-0716-0211-9_7,98,Fung et al. 2020 Methods Mol Biol,PubMed,Y,molecular,,
"application of current hemorrhage control techniques for backcountry care: part two, hemostatic dressings and other adjuncts",Littlejohn et al.,Wilderness & Environmental Medicine,2015,10.1016/j.wem.2014.08.018,99,Littlejohn et al. 2015 Wilderness & Environmental Medicine,WOS,Y,not batcov,,
applying novel approaches for gc x gc-tof-ms data cleaning and trends clustering in vocs time-series analysis following the volatiles fate in grass baths through passive diffusion sampling,Narduzzi et al.,Journal of Chromatography B-analytical Technologies In The Biomedical and Life Sciences,2018,10.1016/j.jchromb.2018.07.012,100,Narduzzi et al. 2018 Journal of Chromatography B-analytical Technologies In The Biomedical and Life Sciences,WOS,Y,not batcov,,
are flying-foxes coming to town? urbanisation of the spectacled flying-fox (pteropus conspicillatus) in australia,Tait et al.,Plos One,2014,10.1371/journal.pone.0109810,101,Tait et al. 2014 Plos One,WOS,Y,not batcov,,
are pangolins the intermediate host of the 2019 novel coronavirus (sars-cov-2)?,Liu et al.,Plos Pathogens,2020,10.1371/journal.ppat.1008421,102,Liu et al. 2020 Plos Pathogens,WOS,Y,no bat,,
assessing amphibian disease risk across tropical streams while accounting for imperfect pathogen detection,Ribeiro et al.,Oecologia,2020,10.1007/s00442-020-04646-4,103,Ribeiro et al. 2020 Oecologia,WOS,Y,not batcov,,
"assessment of potential zoonotic disease exposure and illness related to an annual bat festival--idanre, nigeria",Vora et al.,Mmwr Morb Mortal Wkly Rep,2014,,104,Vora et al. 2014 Mmwr Morb Mortal Wkly Rep,PubMed,Y,no cov,,
"assessment of small mammal diversity in coffee agroforestry in the western ghats, india",Caudill et al.,Agroforestry Systems,2014,10.1007/s10457-013-9664-3,105,Caudill et al. 2014 Agroforestry Systems,WOS,Y,no cov,,
assessment of the status of the townsend's big-eared bat in california,Harris et al.,California Fish and Game,2019,,106,Harris et al. 2019 California Fish and Game,WOS,Y,no cov,,
attenuation of replication by a 29 nucleotide deletion in sars-coronavirus acquired during the early stages of human-to-human transmission,Muth et al.,Sci Rep,2018,10.1038/s41598-018-33487-8,107,Muth et al. 2018 Sci Rep,PubMed,Y,no bat,,
audiomoth: evaluation of a smart open acoustic device for monitoring biodiversity and the environment,Hill et al.,Methods In Ecology and Evolution,2018,10.1111/2041-210X.12955,108,Hill et al. 2018 Methods In Ecology and Evolution,WOS,Y,not batcov,,
avian coronavirus in wild aquatic birds,Chu et al.,Journal of Virology,2011,10.1128/JVI.05838-11,109,Chu et al. 2011 Journal of Virology,WOS,Y,not batcov,,
baby pangolins on my plate: possible lessons to learn from the covid-19 pandemic,Volpato et al.,Journal of Ethnobiology and Ethnomedicine,2020,10.1186/s13002-020-00366-4,110,Volpato et al. 2020 Journal of Ethnobiology and Ethnomedicine,WOS,Y,not batcov,,
bacteriological contamination in the quality assessment of water in the besko reservoir intended for collective water supply to people,Policht-Latawiec et al.,Woda Środowisko Obszary Wiejskie,2017,,111,Policht-Latawiec et al. 2017 Woda Środowisko Obszary Wiejskie,CAB,Y,not batcov,,
bad bats?,Genné,Rev Med Suisse,2007,,112,Genné 2007 Rev Med Suisse,PubMed,Y,,,
bat and bird exclusion but not shade cover influence arthropod abundance and cocoa leaf consumption in agroforestry landscape in northeast brazil,Cassano et al.,Agriculture Ecosystems & Environment,2016,10.1016/j.agee.2016.08.013,113,Cassano et al. 2016 Agriculture Ecosystems & Environment,WOS,Y,not batcov,,
bat caliciviruses and human noroviruses are antigenically similar and have overlapping histo-blood group antigen binding profiles,Kocher et al.,Mbio,2018,10.1128/mBio.00869-18,114,Kocher et al. 2018 Mbio,WOS,Y,no cov,,
bat consumption in thailand,Suwannarong & Schuler,Infection Ecology & Epidemiology,2016,,115,Suwannarong & Schuler 2016 Infection Ecology & Epidemiology,CAB,Y,no bat,,
bat coronavirus in brazil related to appalachian ridge and porcine epidemic diarrhea viruses,Simas et al.,,2015,10.3201/eid2104.141783,116,Simas et al. 2015 ,CAB,N,,Y,
bat coronavirus phylogeography in the western indian ocean,Joffrin et al.,Sci Rep,2020,10.1038/s41598-020-63799-7,117,Joffrin et al. 2020 Sci Rep,PubMed,N,,Y,
bat coronaviruses,Smith et al.,,2011,,118,Smith et al. 2011 ,CAB,Y,,,
"bat coronaviruses and experimental infection of bats, the philippines",Watanabe et al.,Emerg Infect Dis,2010,10.3201/eid1608.100208,119,Watanabe et al. 2010 Emerg Infect Dis,PubMed,N,,Y,
bat coronaviruses in china,Fan et al.,Viruses,2019,10.3390/v11030210,120,Fan et al. 2019 Viruses,PubMed,Y,batcov review,,
bat flight and zoonotic viruses,O'shea et al.,Emerg Infect Dis,2014,10.3201/eid2005.130539,121,O'shea et al. 2014 Emerg Infect Dis,PubMed,Y,general review,,
bat lyssavirus in australia - update,Murray,Bulletin - Office International des Épizooties,1997,,122,Murray 1997 Bulletin - Office International des Épizooties,CAB,Y,not batcov,,
bat origin of a new human coronavirus: there and back again,Li et al.,Sci China Life Sci,2020,10.1007/s11427-020-1645-7,123,Li et al. 2020 Sci China Life Sci,PubMed,Y,general review,,
bat origin of human coronaviruses,Hu et al.,Virol J,2015,10.1186/s12985-015-0422-1,124,Hu et al. 2015 Virol J,PubMed,Y,general review,,
bat origins of mers-cov supported by bat coronavirus hku4 usage of human receptor cd26,Wang et al.,Cell Host Microbe,2014,10.1016/j.chom.2014.08.009,125,Wang et al. 2014 Cell Host Microbe,PubMed,Y,molecular,,
"bat rabies, public health and european bat conservation",Racey et al.,Zoonoses and Public Health,2013,10.1111/j.1863-2378.2012.01533.x,126,Racey et al. 2013 Zoonoses and Public Health,CAB,Y,general review,,
bat research networks and viral surveillance: gaps and opportunities in western asia,Phelps et al.,Viruses,2019,10.3390/v11030240,127,Phelps et al. 2019 Viruses,PubMed,Y,not batcov,,
bat reservoirs for rabies virus and epidemiology of rabies in colombia: a review,Cifuentes Jiménez et al.,Revista CES Medicina Veterinaria y Zootecnia,2017,10.21615/cesmvz.12.2.5,128,Cifuentes Jiménez et al. 2017 Revista CES Medicina Veterinaria y Zootecnia,CAB,Y,general review,,
bat sars-like wiv1 coronavirus uses the ace2 of multiple animal species as receptor and evades ifitm3 restriction via tmprss2 activation of membrane fusion,Zheng et al.,Emerg Microbes Infect,2020,10.1080/22221751.2020.1787797,129,Zheng et al. 2020 Emerg Microbes Infect,PubMed,Y,molecular,,
bat severe acute respiratory syndrome-like coronavirus orf3b homologues display different interferon antagonist activities,Zhou et al.,J Gen Virol,2012,10.1099/vir.0.033589-0,130,Zhou et al. 2012 J Gen Virol,PubMed,Y,molecular,,
"bat severe acute respiratory syndrome-like coronavirus wiv1 encodes an extra accessory protein, orfx, involved in modulation of the host immune response",Zeng et al.,J Virol,2016,10.1128/JVI.03079-15,131,Zeng et al. 2016 J Virol,PubMed,Y,molecular,,
