"","UniqueID","Field.25","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","Primers","gene_targets","Terminal.sampling.","tissue","country","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Entered.by","Last.modified","euthanasia"
"11",15,"a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","Balboni et al.","Scientificworldjournal",2012,3,1,0.333333,"Rhinolophus ferrumequinum","betacoronavirus ","Sarbecovirus","","","single","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"faeces","Italy","Piacenza","Val di Trebbia","","","2009","","",NA,"","October",NA,"","","","Binqi Chen","3/13/2021 4:57pm","N"
"12",16,"a real-time pcr assay for bat sars-like coronavirus detection and its application to italian greater horseshoe bat faecal sample surveys","Balboni et al.","Scientificworldjournal",2012,3,2,0.666667,"Rhinolophus ferrumequinum","betacoronavirus ","Sarbecovirus","","","single","cross-sectional","RNA","RT-PCR","single",NA,"RdRp",NA,"faeces","Italy","Piacenza","Castell’arquato","","","2009","","",NA,"","November",NA,"","","","Binqi Chen","3/13/2021 4:57pm","N"
"13",20,"alphacoronavirus detected in bats in the united kingdom","August et al.","Vector-borne and Zoonotic Diseases",2012,16,12,0.75,"Myotis nattereri","alphacoronavirus or betacoronavirus","","bat","","single","cross-sectional","RNA","semi-nested RT-PCR","multiple",NA,"RdRp",NA,"faeces","United Kingdom","Oxfordshire","Wytham Woods","1º33'41""E","51º77'27""N","","2006","",2009,"","",NA,"","","","VERENA Admin","7/19/2021 10:58am","N"
"14",21,"alphacoronavirus detected in bats in the united kingdom","August et al.","Vector-borne and Zoonotic Diseases",2012,16,9,0.5625,"Myotis nattereri","alphacoronavirus or betacoronavirus","","bat","","single","cross-sectional","RNA","semi-nested RT-PCR","multiple",NA,"RdRp",NA,"faeces","United Kingdom","Wiltshire","Savernake Forest","1º67'75""E","51º39’96""N","","2006","",2009,"","",NA,"","","","VERENA Admin","7/19/2021 10:58am","N"
"15",22,"alphacoronavirus detected in bats in the united kingdom","August et al.","Vector-borne and Zoonotic Diseases",2012,30,5,0.166667,"Myotis daubentonii","alphacoronavirus or betacoronavirus","","bat","","single","cross-sectional","RNA","semi-nested RT-PCR","multiple",NA,"RdRp",NA,"faeces","United Kingdom","Oxfordshire","Wytham Woods","1º33'41""E","51º77'27""N","","2006","",2009,"","",NA,"","","","VERENA Admin","7/19/2021 10:58am","N"
"16",23,"alphacoronavirus detected in bats in the united kingdom","August et al.","Vector-borne and Zoonotic Diseases",2012,26,0,0,"Plecotus auritus","alphacoronavirus or betacoronavirus","","","","single","cross-sectional","RNA","semi-nested RT-PCR","multiple",NA,"RdRp",NA,"faeces","United Kingdom","Oxfordshire","Wytham Woods","1º33'41""E","51º77'27""N","","2006","",2009,"","",NA,"","","","VERENA Admin","7/19/2021 10:41am","N"
"17",24,"alphacoronavirus detected in bats in the united kingdom","August et al.","Vector-borne and Zoonotic Diseases",2012,15,0,0,"Rhinolophus ferrumequinum","alphacoronavirus or betacoronavirus","","","","single","cross-sectional","RNA","semi-nested RT-PCR","multiple",NA,"RdRp",NA,"faeces","United Kingdom","SW England","","","","","2006","",2009,"","",NA,"","","","VERENA Admin","7/19/2021 10:41am","N"
"18",26,"alphacoronavirus detected in bats in the united kingdom","August et al.","Vector-borne and Zoonotic Diseases",2012,6,0,0,"Rhinolophus hipposideros","alphacoronavirus or betacoronavirus","","","","single","cross-sectional","RNA","semi-nested RT-PCR","multiple",NA,"RdRp",NA,"faeces","United Kingdom","SW England","","","","","2006","",2009,"","",NA,"","","","VERENA Admin","7/19/2021 10:41am","N"
"19",28,"alphacoronavirus detected in bats in the united kingdom","August et al.","Vector-borne and Zoonotic Diseases",2012,2,0,0,"Pipistrellus pipistrellus","alphacoronavirus or betacoronavirus","","","","single","cross-sectional","RNA","semi-nested RT-PCR","multiple",NA,"RdRp",NA,"faeces","United Kingdom","Wiltshire","Savernake Forest","1º67'75""E","51º39’96""N","","2006","",2009,"","",NA,"","","","VERENA Admin","7/19/2021 10:41am","N"
"20",30,"alphacoronavirus detected in bats in the united kingdom","August et al.","Vector-borne and Zoonotic Diseases",2012,1,0,0,"Barbastella barbastellus","alphacoronavirus or betacoronavirus","","","","single","cross-sectional","RNA","semi-nested RT-PCR","multiple",NA,"RdRp",NA,"faeces","United Kingdom","Wiltshire","Savernake Forest","1º67'75""E","51º39’96""N","","2006","",2009,"","",NA,"","","","VERENA Admin","7/19/2021 10:41am","N"
"21",31,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,14,5,0.357143,"Molossus rufus","alphacoronavirus","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"liver","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 11:02am","Y"
"22",35,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,14,3,0.214286,"Molossus rufus","alphacoronavirus","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"lung","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 11:02am","Y"
"23",36,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,14,1,0.071429,"Molossus rufus","alphacoronavirus","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"intestines","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 11:02am","Y"
"24",37,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,1,1,1,"Eptesicus","alphacoronavirus","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"lung","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 11:02am","Y"
"25",39,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,1,1,1,"Eptesicus","alphacoronavirus","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"intestines","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 11:02am","Y"
"26",47,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,1,0,0,"Eptesicus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"liver","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"27",40,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,5,2,0.4,"Phyllostomus discolor","alphacoronavirus","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"liver","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 11:02am","Y"
"28",41,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,5,0,0,"Phyllostomus discolor","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"lung","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"29",42,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,5,0,0,"Phyllostomus discolor","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"intestines","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"30",44,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,13,1,0.076923,"Artibeus literatus","alphacoronavirus","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"liver","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 11:02am","Y"
"31",45,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,13,0,0,"Artibeus literatus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"lung","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"32",46,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,13,0,0,"Artibeus literatus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"intestines","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"33",49,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,1,0,0,"Glossophaga soricina","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"liver","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"34",50,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,1,0,0,"Glossophaga soricina","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"lung","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"35",51,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,1,1,1,"Glossophaga soricina","alphacoronavirus","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"intestines","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 11:02am","Y"
"36",52,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,1,0,0,"Phyllostomus hastatus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"liver","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"37",54,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,1,0,0,"Phyllostomus hastatus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"lung","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"38",55,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,1,0,0,"Phyllostomus hastatus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"intestines","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"39",56,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,1,0,0,"Nyctinomops laticaudatus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"liver","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"40",57,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,1,0,0,"Nyctinomops laticaudatus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"lung","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"41",58,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,1,0,0,"Nyctinomops laticaudatus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"intestines","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"42",59,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,13,1,0.076923,"Molossus molossus","alphacoronavirus","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"liver","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 11:02am","Y"
"43",60,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,13,0,0,"Molossus molossus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"lung","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"44",61,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,13,0,0,"Molossus molossus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"intestines","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"45",62,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,3,0,0,"Eptesicus furinalis","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"liver","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"46",63,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,3,0,0,"Eptesicus furinalis","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"lung","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"47",64,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,3,0,0,"Eptesicus furinalis","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"intestines","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"48",66,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,1,0,0,"Myotis nigricans","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"liver","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"49",67,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,1,0,0,"Myotis nigricans","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"lung","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"50",68,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,1,0,0,"Myotis nigricans","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"intestines","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"51",69,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,3,0,0,"Artibeus planirostris","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"liver","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"52",70,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,3,0,0,"Artibeus planirostris","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"lung","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"53",71,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,3,0,0,"Artibeus planirostris","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"intestines","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"54",72,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,1,0,0,"Carollia perspicillata","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"liver","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"55",73,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,1,0,0,"Carollia perspicillata","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"lung","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"56",74,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,1,0,0,"Carollia perspicillata","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"intestines","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"57",76,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,2,0,0,"Vampyressa pussilla","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"liver","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"58",77,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,2,0,0,"Vampyressa pussilla","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"lung","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"59",78,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,2,0,0,"Vampyressa pussilla","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"intestines","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"60",75,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,1,0,0,"Platyrrhinus lineatus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"liver","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"61",81,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,1,0,0,"Platyrrhinus lineatus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"lung","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"62",82,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,1,0,0,"Platyrrhinus lineatus","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"intestines","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
"63",83,"""alphacoronavirus detection in lungs, liver, and intestines of bats from brazil""","Bittar et al.","Microb Ecol",2020,1,0,0,"Sturnira lilium","alphacoronavirus or betacoronavirus or gammacoronavirus or deltacoronavirus","","","","single","cross-sectional","RNA","nested RT-PCR","multiple",NA,"RdRp: nsP12",NA,"liver","Brazil","São José do Rio Preto","","","","","","",NA,"","",NA,"","","","VERENA Admin","7/19/2021 10:43am","Y"
