"","title","author","journal","year","doi","ID","study","source","exclude_title","exclude_reason","include","entered"
"3:332","a review of leptospirosis in malaysia","Bahaman & Ibrahim","Veterinary Research Communications",1988,"10.1007/BF00362799",34,"Bahaman & Ibrahim 1988 Veterinary Research Communications","CAB","","","",""
"2:125","a review of studies on animal reservoirs of the sars coronavirus","Shi & Hu","Virus Res",2008,"10.1016/j.virusres.2007.03.012",35,"Shi & Hu 2008 Virus Res","PubMed","","","",""
"1:84","a review of the economics of the prevention and control of rabies part 2: rabies in dogs, livestock and wildlife","Meltzer & Rupprecht","Pharmacoeconomics",1998,"10.2165/00019053-199814050-00003",36,"Meltzer & Rupprecht 1998 Pharmacoeconomics","WOS","","","",""
"1:242","a roadmap for survey designs in terrestrial acoustic monitoring","Moreira sugai et al.","Remote Sensing In Ecology and Conservation",2019,"10.1002/rse2.131",37,"Moreira sugai et al. 2019 Remote Sensing In Ecology and Conservation","WOS","","","",""
"1:13","a sars-like cluster of circulating bat coronaviruses shows potential for human emergence","Menachery et al.","Nature Medicine",2015,"10.1038/nm.3985",38,"Menachery et al. 2015 Nature Medicine","WOS","","","",""
"1:169","a study of a crude oil spill site for selected metal concentrations remediated by a controlled burning in southwest louisiana","Sneddon et al.","Microchemical Journal",2006,"10.1016/j.microc.2005.06.006",39,"Sneddon et al. 2006 Microchemical Journal","WOS","","","",""
"1:412","a study of mini-grid concept for unelectrified village in thailand","Ketjoy et al.","Energy & Environment - a World of Challenges and Opportunities, Proceedings",2003,"",40,"Ketjoy et al. 2003 Energy & Environment - a World of Challenges and Opportunities, Proceedings","WOS","","","",""
"3:341","a study of the circulation of west nile virus in mosquitoes in a potential high-risk area for arbovirus circulation in the netherlands, ""de oostvaardersplassen""","Reusken et al.","",2010,"",41,"Reusken et al. 2010 ","CAB","","","",""
"3:293","a study of the circulation of west nile virus, sindbis virus, batai virus and usutu virus in mosquitoes in a potential high-risk area for arbovirus circulation in the netherlands, ""de oostvaardersplassen""","Reusken et al.","",2011,"",42,"Reusken et al. 2011 ","CAB","","","",""
"1:145","a survey for batrachochytrium salamandrivorans in chinese amphibians","Zhu et al.","Current Zoology",2014,"10.1093/czoolo/60.6.729",43,"Zhu et al. 2014 Current Zoology","WOS","","","",""
"1:122","a survey of fallow practices and weed floras in wheat stubble and grain-sorghum in northern new-south-wales","Felton et al.","Australian Journal of Experimental Agriculture",1994,"10.1071/EA9940229",44,"Felton et al. 1994 Australian Journal of Experimental Agriculture","WOS","","","",""
"1:236","a technique for rapidly quantifying mammal hair morphology for zoological research","Davis","Folia Zoologica",2010,"",45,"Davis 2010 Folia Zoologica","WOS","","","",""
"2:218","a viral metagenomic survey identifies known and novel mammalian viruses in bats from saudi arabia","Mishra et al.","Plos One",2019,"10.1371/journal.pone.0214227",46,"Mishra et al. 2019 Plos One","PubMed","","","",""
"1:202","a wireless sensor system for long-term microclimate monitoring in wildland cultural heritage sites","Xia ming et al.","Proceedings of The 2008 International Symposium On Parallel and Distributed Processing With Applications",2008,"10.1109/ISPA.2008.75",47,"Xia ming et al. 2008 Proceedings of The 2008 International Symposium On Parallel and Distributed Processing With Applications","WOS","","","",""
"3:364","abortion by the tsetse fly glossina palpalis palpalis after treatment with insecticides","Riordan","Entomologia Experimentalis et Applicata",1986,"10.1007/BF00195577",48,"Riordan 1986 Entomologia Experimentalis et Applicata","CAB","","","",""
"1:339","absence of hantavirus in water voles and eurasian beavers in britain","Girling et al.","Veterinary Record",2019,"10.1136/vr.105246",49,"Girling et al. 2019 Veterinary Record","WOS","","","",""
"1:79","accelerated cataract formation and reduced lens epithelial water permeability in aquaporin-1-deficient mice","Ruiz-ederra & Verkman","Investigative Ophthalmology & Visual Science",2006,"10.1167/iovs.06-0229",50,"Ruiz-ederra & Verkman 2006 Investigative Ophthalmology & Visual Science","WOS","","","",""
"2:250","accelerated viral dynamics in bat cell lines, with implications for zoonotic emergence","Brook et al.","Elife",2020,"10.7554/eLife.48401",51,"Brook et al. 2020 Elife","PubMed","","","",""
"1:260","accounting for location uncertainty in azimuthal telemetry data improves ecological inference","Gerber et al.","Movement Ecology",2018,"10.1186/s40462-018-0129-1",52,"Gerber et al. 2018 Movement Ecology","WOS","","","",""
"1:334","activation of rnase l in egyptian rousette bat-derived roni/7 cells is dependent primarily on oas3 and independent of mavs signaling","Li et al.","Mbio",2019,"10.1128/mBio.02414-19",53,"Li et al. 2019 Mbio","WOS","","","",""
"3:304","activity of insecticidal bacillus thuringiensis var israelensis strains stored by various methods","Ermolova et al.","Sel'skokhozyaistvennaya Biologiya",2018,"10.15389/agrobiology.2018.1.201eng",54,"Ermolova et al. 2018 Sel'skokhozyaistvennaya Biologiya","CAB","","","",""
"2:310","adaptive evolution of bat dipeptidyl peptidase 4 (dpp4): implications for the origin and emergence of middle east respiratory syndrome coronavirus","Cui et al.","Virol J",2013,"10.1186/1743-422X-10-304",55,"Cui et al. 2013 Virol J","PubMed","","","",""
"2:100","adaptive evolution of mers-cov to species variation in dpp4","Letko et al.","Cell Rep",2018,"10.1016/j.celrep.2018.07.045",56,"Letko et al. 2018 Cell Rep","PubMed","","","",""
"1:5","advanced backcross qtl analysis in a cross between an elite processing line of tomato and its wild relative l-pimpinellifolium","Tanksley et al.","Theoretical and Applied Genetics",1996,"",57,"Tanksley et al. 1996 Theoretical and Applied Genetics","WOS","","","",""
"2:57","advances in mers-cov vaccines and therapeutics based on the receptor-binding domain","Zhou et al.","Viruses",2019,"10.3390/v11010060",58,"Zhou et al. 2019 Viruses","PubMed","","","",""
"2:379","advances in the researches of genomic characterization and molecular detection of middel east respiratory syndrome coronavirus","Zhao & Tan","Zhonghua Yu Fang Yi Xue Za Zhi",2015,"",59,"Zhao & Tan 2015 Zhonghua Yu Fang Yi Xue Za Zhi","PubMed","","","",""
"1:393","airport expansion and endangered bats: development and mitigation actions near the indianapolis international airport","Divoll & O'keefe","Transportation Research Record",2018,"10.1177/0361198118799711",60,"Divoll & O'keefe 2018 Transportation Research Record","WOS","","","",""
"2:49","airway memory cd4(+) t cells mediate protective immunity against emerging respiratory coronaviruses","Zhao et al.","Immunity",2016,"10.1016/j.immuni.2016.05.006",61,"Zhao et al. 2016 Immunity","PubMed","","","",""
"2:398","alpha and lineage c betacov infections in italian bats","De et al.","Virus Genes",2014,"10.1007/s11262-013-1008-x",62,"De et al. 2014 Virus Genes","PubMed","","","",""
"1:158","alphacoronavirus detected in bats in the united kingdom","August et al.","Vector-borne and Zoonotic Diseases",2012,"10.1089/vbz.2011.0829",63,"August et al. 2012 Vector-borne and Zoonotic Diseases","WOS","","","",""
"2:347","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,"10.1007/s00248-019-01391-x",64,"Bittar et al. 2020 Microb Ecol","PubMed","","","",""
"2:319","alphacoronavirus in urban molossidae and phyllostomidae bats, brazil","Asano et al.","Virol J",2016,"10.1186/s12985-016-0569-4",65,"Asano et al. 2016 Virol J","PubMed","","","",""
"2:404","alphacoronaviruses detected in french bats are phylogeographically linked to coronaviruses of european bats","Goffard et al.","Viruses",2015,"10.3390/v7122937",66,"Goffard et al. 2015 Viruses","PubMed","","","",""
"2:391","alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans","Osborne et al.","Plos One",2011,"10.1371/journal.pone.0019156",67,"Osborne et al. 2011 Plos One","PubMed","","","",""
"1:49","alternative stable states and the role of fire-vegetation-soil feedbacks in the temperate wilderness of southwest tasmania","Wood & Bowman","Landscape Ecology",2012,"10.1007/s10980-011-9677-0",68,"Wood & Bowman 2012 Landscape Ecology","WOS","","","",""
"3:344","amblyomma aureolatum (pallas, 1772) and amblyomma ovale koch, 1844 (acari: ixodidae): hosts, distribution and 16s rdna sequences","Guglielmone et al.","Veterinary Parasitology",2003,"10.1016/S0304-4017(03)00083-9",69,"Guglielmone et al. 2003 Veterinary Parasitology","CAB","","","",""
"3:224","amplification and cloning of angtiotension-coverting enzyme 2 gene from rhinolophus sinicus by race technique","Gao Jun et al.","China Tropical Medicine",2009,"",70,"Gao Jun et al. 2009 China Tropical Medicine","CAB","","","",""
"2:387","amplification of emerging viruses in a bat colony","Drexler et al.","Emerg Infect Dis",2011,"10.3201/eid1703.100526",71,"Drexler et al. 2011 Emerg Infect Dis","PubMed","","","",""
"2:235","an emerging coronavirus causing pneumonia outbreak in wuhan, china: calling for developing therapeutic and prophylactic strategies","Jiang et al.","Emerg Microbes Infect",2020,"10.1080/22221751.2020.1723441",72,"Jiang et al. 2020 Emerg Microbes Infect","PubMed","","","",""
"2:341","an epidemiological investigation of bats carrying sars-cov in guangzhou and its vicinity","Li et al.","Nan Fang Yi Ke Da Xue Xue Bao",2006,"",73,"Li et al. 2006 Nan Fang Yi Ke Da Xue Xue Bao","PubMed","","","",""
"2:213","an exclusive 42 amino acid signature in pp1ab protein provides insights into the evolutive history of the 2019 novel human-pathogenic coronavirus (sars-cov-2)","Cárdenas-conejo et al.","J Med Virol",2020,"10.1002/jmv.25758",74,"Cárdenas-conejo et al. 2020 J Med Virol","PubMed","","","",""
"2:354","an extensive meta-metagenomic search identifies sars-cov-2-homologous sequences in pangolin lung viromes","Wahba et al.","Msphere",2020,"10.1128/mSphere.00160-20",75,"Wahba et al. 2020 Msphere","PubMed","","","",""
"3:290","an immunodominant and conserved b-cell epitope in the envelope of simian foamy virus recognized by humans infected with zoonotic strains from apes","Lambert et al.","Journal of Virology",2019,"10.1128/jvi.00068-19",76,"Lambert et al. 2019 Journal of Virology","CAB","","","",""
"1:304","an inexpensive satellite-download gps receiver for wildlife: field trial on black swans","Lehrke et al.","Wildlife Research",2017,"10.1071/WR17064",77,"Lehrke et al. 2017 Wildlife Research","WOS","","","",""
"1:111","an infrared video camera system for monitoring diurnal and nocturnal raptors","Delaney et al.","Journal of Raptor Research",1998,"",78,"Delaney et al. 1998 Journal of Raptor Research","WOS","","","",""
"2:53","an orally bioavailable broad-spectrum antiviral inhibits sars-cov-2 in human airway epithelial cell cultures and multiple coronaviruses in mice","Sheahan et al.","Sci Transl Med",2020,"10.1126/scitranslmed.abb5883",79,"Sheahan et al. 2020 Sci Transl Med","PubMed","","","",""
"3:347","an outbreak of arbovirus infection in the tajik ssr caused by issyk-kul' virus (issyk-kul' fever)","L'vov et al.","Voprosy Virusologii",1984,"",80,"L'vov et al. 1984 Voprosy Virusologii","CAB","","","",""
"1:78","an untold story of middleboxes in cellular networks","Wang et al.","Acm Sigcomm Computer Communication Review",2011,"10.1145/2043164.2018479",81,"Wang et al. 2011 Acm Sigcomm Computer Communication Review","WOS","","","",""
"1:406","an unusual group of hero stones","Storm","Ars Orientalis",2014,"",82,"Storm 2014 Ars Orientalis","WOS","","","",""
"1:313","an update on the origin of sars-cov-2: despite closest identity, bat (ratg13) and pangolin derived coronaviruses varied in the critical binding site and o-linked glycan residues","Malaiyan et al.","Journal of Medical Virology",2020,"10.1002/jmv.26261",83,"Malaiyan et al. 2020 Journal of Medical Virology","WOS","","","",""
"1:395","analysing speech for clinical applications","Trancoso et al.","Statistical Language and Speech Processing, Slsp 2018",2018,"10.1007/978-3-030-00810-9_1",84,"Trancoso et al. 2018 Statistical Language and Speech Processing, Slsp 2018","WOS","","","",""
"2:260","analysis of cathepsin and furin proteolytic enzymes involved in viral fusion protein activation in cells of the bat reservoir host","El et al.","Plos One",2015,"10.1371/journal.pone.0115736",85,"El et al. 2015 Plos One","PubMed","","","",""
"2:236","analysis of preferred codon usage in the coronavirus n genes and their implications for genome evolution and vaccine design","Sheikh et al.","J Virol Methods",2020,"10.1016/j.jviromet.2019.113806",86,"Sheikh et al. 2020 J Virol Methods","PubMed","","","",""
"2:442","analysis of sars-coronavirus genome","Fukushi","Nihon Rinsho",2010,"",87,"Fukushi 2010 Nihon Rinsho","PubMed","","","",""
"2:269","analysis of the hosts and transmission paths of sars-cov-2 in the covid-19 outbreak","Dong et al.","Genes (basel)",2020,"10.3390/genes11060637",88,"Dong et al. 2020 Genes (basel)","PubMed","","","",""
"2:181","analysis of variation and evolution of sars-cov-2 genome","Zhou et al.","Nan Fang Yi Ke Da Xue Xue Bao",2020,"10.12122/j.issn.1673-4254.2020.02.02",89,"Zhou et al. 2020 Nan Fang Yi Ke Da Xue Xue Bao","PubMed","","","",""
"1:179","anatomical and histological structure of the tongue and histochemical characteristics of the lingual salivary glands in the persian squirrel (sciurus anomalus)","Sadeghinezhad et al.","Anatomical Science International",2018,"10.1007/s12565-016-0367-5",90,"Sadeghinezhad et al. 2018 Anatomical Science International","WOS","","","",""
"1:198","androgenetic doubled haploids induced without irradiation of eggs in loach (misgurnus anguillicaudatus)","Hou et al.","Aquaculture",2014,"10.1016/j.aquaculture.2013.05.021",91,"Hou et al. 2014 Aquaculture","WOS","","","",""
"1:400","angiolo del santo, a sculptor dedicated to graphic work on the covers of 'vita d'arte'","Nardo","Prospettiva-rivista Di Storia Dell Arte Antica E Moderna",2016,"",92,"Nardo 2016 Prospettiva-rivista Di Storia Dell Arte Antica E Moderna","WOS","","","",""
"2:215","angiotensin-converting enzyme 2 (ace2) from raccoon dog can serve as an efficient receptor for the spike protein of severe acute respiratory syndrome coronavirus","Xu et al.","J Gen Virol",2009,"10.1099/vir.0.013490-0",93,"Xu et al. 2009 J Gen Virol","PubMed","","","",""
"2:129","angiotensin-converting enzyme 2 (ace2) proteins of different bat species confer variable susceptibility to sars-cov entry","Hou et al.","Arch Virol",2010,"10.1007/s00705-010-0729-6",94,"Hou et al. 2010 Arch Virol","PubMed","","","",""
"1:128","animal bites - guidelines to current management","Anderson","Postgraduate Medicine",1992,"",95,"Anderson 1992 Postgraduate Medicine","WOS","","","",""
"3:343","anopheles culicifacies breeding in brackish waters in sri lanka and implications for malaria control","Jude et al.","Malaria Journal",2010,"",96,"Jude et al. 2010 Malaria Journal","CAB","","","",""
"2:164","anti-severe acute respiratory syndrome coronavirus spike antibodies trigger infection of human immune cells via a ph- and cysteine protease-independent fcγr pathway","Jaume et al.","J Virol",2011,"10.1128/JVI.00671-11",97,"Jaume et al. 2011 J Virol","PubMed","","","",""
"2:337","antigen capture enzyme-linked immunosorbent assay for detecting middle east respiratory syndrome coronavirus in humans","Fung et al.","Methods Mol Biol",2020,"10.1007/978-1-0716-0211-9_7",98,"Fung et al. 2020 Methods Mol Biol","PubMed","","","",""
"1:143","application of current hemorrhage control techniques for backcountry care: part two, hemostatic dressings and other adjuncts","Littlejohn et al.","Wilderness & Environmental Medicine",2015,"10.1016/j.wem.2014.08.018",99,"Littlejohn et al. 2015 Wilderness & Environmental Medicine","WOS","","","",""
"1:298","applying novel approaches for gc x gc-tof-ms data cleaning and trends clustering in vocs time-series analysis following the volatiles fate in grass baths through passive diffusion sampling","Narduzzi et al.","Journal of Chromatography B-analytical Technologies In The Biomedical and Life Sciences",2018,"10.1016/j.jchromb.2018.07.012",100,"Narduzzi et al. 2018 Journal of Chromatography B-analytical Technologies In The Biomedical and Life Sciences","WOS","","","",""
"1:133","are flying-foxes coming to town? urbanisation of the spectacled flying-fox (pteropus conspicillatus) in australia","Tait et al.","Plos One",2014,"10.1371/journal.pone.0109810",101,"Tait et al. 2014 Plos One","WOS","","","",""
"1:160","are pangolins the intermediate host of the 2019 novel coronavirus (sars-cov-2)?","Liu et al.","Plos Pathogens",2020,"10.1371/journal.ppat.1008421",102,"Liu et al. 2020 Plos Pathogens","WOS","","","",""
"1:372","assessing amphibian disease risk across tropical streams while accounting for imperfect pathogen detection","Ribeiro et al.","Oecologia",2020,"10.1007/s00442-020-04646-4",103,"Ribeiro et al. 2020 Oecologia","WOS","","","",""
"2:415","assessment of potential zoonotic disease exposure and illness related to an annual bat festival--idanre, nigeria","Vora et al.","Mmwr Morb Mortal Wkly Rep",2014,"",104,"Vora et al. 2014 Mmwr Morb Mortal Wkly Rep","PubMed","","","",""
"1:187","assessment of small mammal diversity in coffee agroforestry in the western ghats, india","Caudill et al.","Agroforestry Systems",2014,"10.1007/s10457-013-9664-3",105,"Caudill et al. 2014 Agroforestry Systems","WOS","","","",""
"1:388","assessment of the status of the townsend's big-eared bat in california","Harris et al.","California Fish and Game",2019,"",106,"Harris et al. 2019 California Fish and Game","WOS","","","",""
"2:157","attenuation of replication by a 29 nucleotide deletion in sars-coronavirus acquired during the early stages of human-to-human transmission","Muth et al.","Sci Rep",2018,"10.1038/s41598-018-33487-8",107,"Muth et al. 2018 Sci Rep","PubMed","","","",""
"1:57","audiomoth: evaluation of a smart open acoustic device for monitoring biodiversity and the environment","Hill et al.","Methods In Ecology and Evolution",2018,"10.1111/2041-210X.12955",108,"Hill et al. 2018 Methods In Ecology and Evolution","WOS","","","",""
"1:58","avian coronavirus in wild aquatic birds","Chu et al.","Journal of Virology",2011,"10.1128/JVI.05838-11",109,"Chu et al. 2011 Journal of Virology","WOS","","","",""
"1:240","baby pangolins on my plate: possible lessons to learn from the covid-19 pandemic","Volpato et al.","Journal of Ethnobiology and Ethnomedicine",2020,"10.1186/s13002-020-00366-4",110,"Volpato et al. 2020 Journal of Ethnobiology and Ethnomedicine","WOS","","","",""
"3:312","bacteriological contamination in the quality assessment of water in the besko reservoir intended for collective water supply to people","Policht-Latawiec et al.","Woda Środowisko Obszary Wiejskie",2017,"",111,"Policht-Latawiec et al. 2017 Woda Środowisko Obszary Wiejskie","CAB","","","",""
"2:411","bad bats?","Genné","Rev Med Suisse",2007,"",112,"Genné 2007 Rev Med Suisse","PubMed","","","",""
"1:253","bat and bird exclusion but not shade cover influence arthropod abundance and cocoa leaf consumption in agroforestry landscape in northeast brazil","Cassano et al.","Agriculture Ecosystems & Environment",2016,"10.1016/j.agee.2016.08.013",113,"Cassano et al. 2016 Agriculture Ecosystems & Environment","WOS","","","",""
"1:228","bat caliciviruses and human noroviruses are antigenically similar and have overlapping histo-blood group antigen binding profiles","Kocher et al.","Mbio",2018,"10.1128/mBio.00869-18",114,"Kocher et al. 2018 Mbio","WOS","","","",""
"3:200","bat consumption in thailand","Suwannarong & Schuler","Infection Ecology & Epidemiology",2016,"",115,"Suwannarong & Schuler 2016 Infection Ecology & Epidemiology","CAB","","","",""
"3:92","bat coronavirus in brazil related to appalachian ridge and porcine epidemic diarrhea viruses","Simas et al.","",2015,"10.3201/eid2104.141783",116,"Simas et al. 2015 ","CAB","","","",""
"2:265","bat coronavirus phylogeography in the western indian ocean","Joffrin et al.","Sci Rep",2020,"10.1038/s41598-020-63799-7",117,"Joffrin et al. 2020 Sci Rep","PubMed","","","",""
"3:167","bat coronaviruses","Smith et al.","",2011,"",118,"Smith et al. 2011 ","CAB","","","",""
"2:245","bat coronaviruses and experimental infection of bats, the philippines","Watanabe et al.","Emerg Infect Dis",2010,"10.3201/eid1608.100208",119,"Watanabe et al. 2010 Emerg Infect Dis","PubMed","","","",""
"2:13","bat coronaviruses in china","Fan et al.","Viruses",2019,"10.3390/v11030210",120,"Fan et al. 2019 Viruses","PubMed","","","",""
"2:248","bat flight and zoonotic viruses","O'shea et al.","Emerg Infect Dis",2014,"10.3201/eid2005.130539",121,"O'shea et al. 2014 Emerg Infect Dis","PubMed","","","",""
"3:252","bat lyssavirus in australia - update","Murray","Bulletin - Office International des Épizooties",1997,"",122,"Murray 1997 Bulletin - Office International des Épizooties","CAB","","","",""
"2:114","bat origin of a new human coronavirus: there and back again","Li et al.","Sci China Life Sci",2020,"10.1007/s11427-020-1645-7",123,"Li et al. 2020 Sci China Life Sci","PubMed","","","",""
"2:19","bat origin of human coronaviruses","Hu et al.","Virol J",2015,"10.1186/s12985-015-0422-1",124,"Hu et al. 2015 Virol J","PubMed","","","",""
"2:122","bat origins of mers-cov supported by bat coronavirus hku4 usage of human receptor cd26","Wang et al.","Cell Host Microbe",2014,"10.1016/j.chom.2014.08.009",125,"Wang et al. 2014 Cell Host Microbe","PubMed","","","",""
"3:243","bat rabies, public health and european bat conservation","Racey et al.","Zoonoses and Public Health",2013,"10.1111/j.1863-2378.2012.01533.x",126,"Racey et al. 2013 Zoonoses and Public Health","CAB","","","",""
"2:124","bat research networks and viral surveillance: gaps and opportunities in western asia","Phelps et al.","Viruses",2019,"10.3390/v11030240",127,"Phelps et al. 2019 Viruses","PubMed","","","",""
"3:199","bat reservoirs for rabies virus and epidemiology of rabies in colombia: a review","Cifuentes Jiménez et al.","Revista CES Medicina Veterinaria y Zootecnia",2017,"10.21615/cesmvz.12.2.5",128,"Cifuentes Jiménez et al. 2017 Revista CES Medicina Veterinaria y Zootecnia","CAB","","","",""
