"","X","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_genus_notes","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","sample_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","gene_targets_simplified","euthanasia","euthanasia_simplified","method_specific_simplified","virus_genus_simplified","spec","species_for_reader","species","studies"
"21",21,2205,"viral diversity of bat communities in human-dominated landscapes in mexico","Rico-Chávez et al.","Veterinaria México OA",2015,102,1,0.009804,"Carollia sowelli","alphacoronavirus","","","","Mex Cov 2","single","cross-sectional","RNA","RT-PCR","single",NA,NA,"rectal swab","Mexico","N","Campeche","Reserva de la Biósfera Calakmul",NA,NA,"","","",NA,"","",NA,NA,"N","Y, Disturbed","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal","swab",NA,NA,NA,NA,NA,NA,NA,"No","No","PCR","alphacoronavirus",1,"Carollia sowelli","Carollia sowelli","viral diversity of bat communities in human-dominated landscapes in mexico"
"23",23,2208,"viral diversity of bat communities in human-dominated landscapes in mexico","Rico-Chávez et al.","Veterinaria México OA",2015,10,1,0.1,"Myotis velifer","alphacoronavirus","","","","Mex Cov 7","single","cross-sectional","RNA","RT-PCR","single",NA,NA,"rectal swab","Mexico","N","Greater Mexico City","Distrito Federal, Metropolitan Area",NA,NA,"","","",NA,"","",NA,NA,"N","Y, Fragmented","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal","swab",NA,NA,NA,NA,NA,NA,NA,"No","No","PCR","alphacoronavirus",1,"Myotis velifer","Myotis velifer","viral diversity of bat communities in human-dominated landscapes in mexico"
"24",24,2209,"viral diversity of bat communities in human-dominated landscapes in mexico","Rico-Chávez et al.","Veterinaria México OA",2015,49,2,0.040816,"Myotis velifer","alphacoronavirus","","","","Mex Cov 7","single","cross-sectional","RNA","RT-PCR","single",NA,NA,"rectal swab","Mexico","N","Greater Mexico City","Distrito Federal, Metropolitan Area",NA,NA,"","","",NA,"","",NA,NA,"N","Y, Urban","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal","swab",NA,NA,NA,NA,NA,NA,NA,"No","No","PCR","alphacoronavirus",1,"Myotis velifer","Myotis velifer","viral diversity of bat communities in human-dominated landscapes in mexico"
"25",25,2210,"viral diversity of bat communities in human-dominated landscapes in mexico","Rico-Chávez et al.","Veterinaria México OA",2015,49,3,0.061224,"Tadarida brasiliensis","alphacoronavirus","","","","Mex Cov 8","single","cross-sectional","RNA","RT-PCR","single",NA,NA,"rectal swab","Mexico","N","Greater Mexico City","Distrito Federal, Metropolitan Area",NA,NA,"","","",NA,"","",NA,NA,"N","Y, Urban","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal","swab",NA,NA,NA,NA,NA,NA,NA,"No","No","PCR","alphacoronavirus",1,"Tadarida brasiliensis","Tadarida brasiliensis","viral diversity of bat communities in human-dominated landscapes in mexico"
"45",45,2,"a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat","Subudhi et al.","J Gen Virol",2017,47,17,0.361702,"Myotis lucifugus","alphacoronavirus","","Colacovirus","bat","Myl-CoV CDPHE15","repeat","longitudinal","RNA","semi-nested RT-PCR","multiple","RdRp",NA,"intestines","Canada","N","Manitoba","",NA,NA,"2011","","",NA,"","winter","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:05pm","intestine","tissue",0,0,1,0,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","alphacoronavirus",1,"Myotis lucifugus","Myotis lucifugus","a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat"
"46",46,3,"a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat","Subudhi et al.","J Gen Virol",2017,127,36,0.283465,"Myotis lucifugus","alphacoronavirus","","Colacovirus","bat","Myl-CoV CDPHE15","repeat","longitudinal","RNA","semi-nested RT-PCR","multiple","RdRp",NA,"intestines","Canada","N","Manitoba","",NA,NA,"2012","","",NA,"","winter","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:05pm","intestine","tissue",0,0,1,0,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","alphacoronavirus",1,"Myotis lucifugus","Myotis lucifugus","a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat"
"47",47,4,"a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat","Subudhi et al.","J Gen Virol",2017,174,5,0.028736,"Myotis lucifugus","alphacoronavirus","","Colacovirus","bat","Myl-CoV CDPHE15","pooled","longitudinal","IHC",NA,"",NA,NA,"lung","Canada","N","Manitoba","",NA,NA,"","2011","",2012,"","winter","Winter",NA,"","","","","VERENA Admin","4/12/2022 2:06pm","lung or respiratory","tissue",0,0,1,0,NA,NA,NA,"Yes, BUT for previous study or rabies surveillance","Yes",NA,"alphacoronavirus",1,"Myotis lucifugus","Myotis lucifugus","a persistently infecting coronavirus in hibernating myotis lucifugus, the north american little brown bat"
"56",56,20,"alphacoronavirus detected in bats in the united kingdom","August et al.","Vector-borne and Zoonotic Diseases",2012,16,12,0.75,"Myotis nattereri","alphacoronavirus","","","bat","","single","cross-sectional","RNA","semi-nested RT-PCR","multiple","RdRp",NA,"faeces","United Kingdom","N","Oxfordshire","Wytham Woods","-1º33'41""E","51º77'27""N","","2006","",2009,"","","Year",NA,"","","","","VERENA Admin","4/25/2022 2:18pm","faecal, rectal, or anal","faeces",1,1,1,1,52.2908333333333,-1.56138888888889,"RdRp","No","No","PCR","alphacoronavirus",1,"Myotis nattereri","Myotis nattereri","alphacoronavirus detected in bats in the united kingdom"
"57",57,21,"alphacoronavirus detected in bats in the united kingdom","August et al.","Vector-borne and Zoonotic Diseases",2012,16,9,0.5625,"Myotis nattereri","alphacoronavirus","","","bat","","single","cross-sectional","RNA","semi-nested RT-PCR","multiple","RdRp",NA,"faeces","United Kingdom","N","Wiltshire","Savernake Forest","-1º67'75""E","51º39’96""N","","2006","",2009,"","","Year",NA,"","","","","VERENA Admin","4/25/2022 2:18pm","faecal, rectal, or anal","faeces",1,1,1,1,51.6766666666667,-2.1375,"RdRp","No","No","PCR","alphacoronavirus",1,"Myotis nattereri","Myotis nattereri","alphacoronavirus detected in bats in the united kingdom"
"58",58,22,"alphacoronavirus detected in bats in the united kingdom","August et al.","Vector-borne and Zoonotic Diseases",2012,30,5,0.166667,"Myotis daubentonii","alphacoronavirus","","","bat","","single","cross-sectional","RNA","semi-nested RT-PCR","multiple","RdRp",NA,"faeces","United Kingdom","N","Oxfordshire","Wytham Woods","-1º33'41""E","51º77'27""N","","2006","",2009,"","","Year",NA,"","","","","VERENA Admin","4/25/2022 2:18pm","faecal, rectal, or anal","faeces",1,1,1,1,52.2908333333333,-1.56138888888889,"RdRp","No","No","PCR","alphacoronavirus",1,"Myotis daubentonii","Myotis daubentonii","alphacoronavirus detected in bats in the united kingdom"
"64",64,31,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,14,5,0.357143,"Molossus rufus","alphacoronavirus","","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"liver","Brazil","S","São José do Rio Preto","",NA,NA,"","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","liver","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","alphacoronavirus",1,"Molossus rufus","Molossus rufus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil"
"65",65,35,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,14,3,0.214286,"Molossus rufus","alphacoronavirus","","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"lung","Brazil","S","São José do Rio Preto","",NA,NA,"","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","lung or respiratory","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","alphacoronavirus",1,"Molossus rufus","Molossus rufus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil"
"66",66,36,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,14,1,0.071429,"Molossus rufus","alphacoronavirus","","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"intestines","Brazil","S","São José do Rio Preto","",NA,NA,"","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","intestine","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","alphacoronavirus",1,"Molossus rufus","Molossus rufus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil"
"70",70,40,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,5,2,0.4,"Phyllostomus discolor","alphacoronavirus","","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"liver","Brazil","S","São José do Rio Preto","",NA,NA,"","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","liver","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","alphacoronavirus",1,"Phyllostomus discolor","Phyllostomus discolor","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil"
"73",73,44,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,13,1,0.076923,"Artibeus literatus","alphacoronavirus","","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"liver","Brazil","S","São José do Rio Preto","",NA,NA,"","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","liver","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","alphacoronavirus",1,"Artibeus lituratus","Artibeus lituratus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil"
"78",78,51,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,1,1,1,"Glossophaga soricina","alphacoronavirus","","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"intestines","Brazil","S","São José do Rio Preto","",NA,NA,"","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","intestine","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","alphacoronavirus",1,"Glossophaga soricina","Glossophaga soricina","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil"
"85",85,59,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,13,1,0.076923,"Molossus molossus","alphacoronavirus","","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"liver","Brazil","S","São José do Rio Preto","",NA,NA,"","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","liver","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","alphacoronavirus",1,"Molossus molossus","Molossus molossus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil"
"112",112,89,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,11,1,0.090909,"Molossus molossus","alphacoronavirus","","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"liver","Brazil","S","Barreiras","",NA,NA,"","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","liver","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","alphacoronavirus",1,"Molossus molossus","Molossus molossus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil"
"113",113,90,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,11,1,0.090909,"Molossus molossus","alphacoronavirus","","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"lung","Brazil","S","Barreiras","",NA,NA,"","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","lung or respiratory","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","alphacoronavirus",1,"Molossus molossus","Molossus molossus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil"
"114",114,91,"alphacoronavirus detection in lungs, liver, and intestines of bats from brazil","Bittar et al.","Microb Ecol",2020,11,1,0.090909,"Molossus molossus","alphacoronavirus","","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp: nsP12",NA,"intestines","Brazil","S","Barreiras","",NA,NA,"","","",NA,"","",NA,NA,"","","","","VERENA Admin","4/12/2022 2:06pm","intestine","tissue",NA,NA,NA,NA,NA,NA,"RdRp","Yes, for this study","Yes","PCR","alphacoronavirus",1,"Molossus molossus","Molossus molossus","alphacoronavirus detection in lungs, liver, and intestines of bats from brazil"
"136",136,113,"alphacoronavirus in urban molossidae and phyllostomidae bats, brazil","Asano et al.","Virol J",2016,11,3,0.272727,"Cynomops abrasus","alphacoronavirus","","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Brazil","S","Säo Paolo","",NA,NA,"","2013","March",2014,"July","","Fall,Winter",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","faeces",0,1,1,0,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","alphacoronavirus",1,"Cynomops abrasus","Cynomops abrasus","alphacoronavirus in urban molossidae and phyllostomidae bats, brazil"
"137",137,114,"alphacoronavirus in urban molossidae and phyllostomidae bats, brazil","Asano et al.","Virol J",2016,5,3,0.6,"Cynomops planirostris","alphacoronavirus","","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Brazil","S","Säo Paolo","",NA,NA,"","2013","March",2014,"July","","Fall,Winter",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","faeces",0,1,1,0,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","alphacoronavirus",1,"Cynomops planirostris","Cynomops planirostris","alphacoronavirus in urban molossidae and phyllostomidae bats, brazil"
"138",138,115,"alphacoronavirus in urban molossidae and phyllostomidae bats, brazil","Asano et al.","Virol J",2016,41,1,0.02439,"Desmodus rotundus","alphacoronavirus","","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Brazil","S","Säo Paolo","",NA,NA,"","2013","March",2014,"July","","Fall,Winter",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","faeces",0,1,1,0,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","alphacoronavirus",1,"Desmodus rotundus","Desmodus rotundus","alphacoronavirus in urban molossidae and phyllostomidae bats, brazil"
"139",139,116,"alphacoronavirus in urban molossidae and phyllostomidae bats, brazil","Asano et al.","Virol J",2016,33,1,0.030303,"Glossophaga soricina","alphacoronavirus","","","bat","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Brazil","S","Säo Paolo","",NA,NA,"","2013","March",2014,"July","","Fall,Winter",NA,"","","","","VERENA Admin","4/12/2022 2:07pm","faecal, rectal, or anal","faeces",0,1,1,0,NA,NA,"RdRp","Yes, BUT for previous study or rabies surveillance","Yes","PCR","alphacoronavirus",1,"Glossophaga soricina","Glossophaga soricina","alphacoronavirus in urban molossidae and phyllostomidae bats, brazil"
