,X,UniqueID,title,author..from.Imported.table.2.,journal..from.Imported.table.2.,year..from.Imported.table.2.,sample,positives,prevalence,bat_species,virus_genus,virus_genus_notes,virus_subgenus,virus_species,virus_strain,detection_type,study_type,detection_method,method_specific,single.multiple.PCR.method,gene_targets,Terminal.sampling.,tissue,country,country_hemisphere,state,site,longitude,latitude,sample_year,start_year,start_month,end_year,end_month,sample_season,sample_season_simplified,X..Sampling.Trips,Sex.Info.,Habitat.Disturbance.Info.,Coinfection.Info.,Flag,Entered.by,Last.modified,tissue_simplified,sample_simplified,summer,fall,winter,spring,latidudedecimal,longitudedecimal,gene_targets_simplified,euthanasia,euthanasia_simplified,method_specific_simplified,virus_genus_simplified,spec,species_for_reader,species,studies,species_char,family
303,303,287,"bat coronaviruses and experimental infection of bats, the philippines",Watanabe et al.,Emerg Infect Dis,2010,3,2,0.666667,Eonycteris spelaea,betacoronavirus,,,,,single,cross-sectional,RNA,RT-PCR,single,RdRp,NA,intestines,Philippines,N,Los Baños,,NA,NA,2008,,,NA,,July,Summer,NA,,,,,VERENA Admin,4/12/2022 2:07pm,intestine,tissue,1,0,0,0,NA,NA,RdRp,"Yes, for this study",Yes,PCR,betacoronavirus,1,Eonycteris spelaea,Eonycteris spelaea,"bat coronaviruses and experimental infection of bats, the philippines",Eonycteris spelaea,PTEROPODIDAE
304,304,288,"bat coronaviruses and experimental infection of bats, the philippines",Watanabe et al.,Emerg Infect Dis,2010,14,11,0.785714,Ptenochirus jagori,betacoronavirus,,,,,single,cross-sectional,RNA,RT-PCR,single,RdRp,NA,intestines,Philippines,N,Los Baños,,NA,NA,2008,,,NA,,July,Summer,NA,,,,,VERENA Admin,4/12/2022 2:07pm,intestine,tissue,1,0,0,0,NA,NA,RdRp,"Yes, for this study",Yes,PCR,betacoronavirus,1,Ptenochirus jagori,Ptenochirus jagori,"bat coronaviruses and experimental infection of bats, the philippines",Ptenochirus jagori,PTEROPODIDAE
305,305,289,"bat coronaviruses and experimental infection of bats, the philippines",Watanabe et al.,Emerg Infect Dis,2010,1,1,1,Cynopterus brachyotis,betacoronavirus,,,,,single,cross-sectional,RNA,RT-PCR,single,RdRp,NA,intestines,Philippines,N,Diliman,Site A,NA,NA,2008,,,NA,,July,Summer,NA,,,,,VERENA Admin,4/12/2022 2:07pm,intestine,tissue,1,0,0,0,NA,NA,RdRp,"Yes, for this study",Yes,PCR,betacoronavirus,1,Cynopterus brachyotis,Cynopterus brachyotis,"bat coronaviruses and experimental infection of bats, the philippines",Cynopterus brachyotis,PTEROPODIDAE
306,306,290,"bat coronaviruses and experimental infection of bats, the philippines",Watanabe et al.,Emerg Infect Dis,2010,1,1,1,Eonycteris spelaea,betacoronavirus,,,,,single,cross-sectional,RNA,RT-PCR,single,RdRp,NA,intestines,Philippines,N,Diliman,Site A,NA,NA,2008,,,NA,,July,Summer,NA,,,,,VERENA Admin,4/12/2022 2:07pm,intestine,tissue,1,0,0,0,NA,NA,RdRp,"Yes, for this study",Yes,PCR,betacoronavirus,1,Eonycteris spelaea,Eonycteris spelaea,"bat coronaviruses and experimental infection of bats, the philippines",Eonycteris spelaea,PTEROPODIDAE
308,308,292,"bat coronaviruses and experimental infection of bats, the philippines",Watanabe et al.,Emerg Infect Dis,2010,1,1,1,Eonycteris spelaea,betacoronavirus,,,,,single,cross-sectional,RNA,RT-PCR,single,RdRp,NA,intestines,Philippines,N,Diliman,Site B,NA,NA,2008,,,NA,,July,Summer,NA,,,,,VERENA Admin,4/12/2022 2:07pm,intestine,tissue,1,0,0,0,NA,NA,RdRp,"Yes, for this study",Yes,PCR,betacoronavirus,1,Eonycteris spelaea,Eonycteris spelaea,"bat coronaviruses and experimental infection of bats, the philippines",Eonycteris spelaea,PTEROPODIDAE
311,311,295,"bat coronaviruses and experimental infection of bats, the philippines",Watanabe et al.,Emerg Infect Dis,2010,18,6,0.333333,Cynopterus brachyotis,betacoronavirus,,,,,single,cross-sectional,RNA,RT-PCR,single,RdRp,NA,intestines,Philippines,N,Diliman,Site C,NA,NA,2008,,,NA,,July,Summer,NA,,,,,VERENA Admin,4/12/2022 2:07pm,intestine,tissue,1,0,0,0,NA,NA,RdRp,"Yes, for this study",Yes,PCR,betacoronavirus,1,Cynopterus brachyotis,Cynopterus brachyotis,"bat coronaviruses and experimental infection of bats, the philippines",Cynopterus brachyotis,PTEROPODIDAE
313,313,297,"bat coronaviruses and experimental infection of bats, the philippines",Watanabe et al.,Emerg Infect Dis,2010,1,1,1,Rousettus amplexicaudatus,betacoronavirus,,,,,single,cross-sectional,RNA,RT-PCR,single,RdRp,NA,intestines,Philippines,N,Diliman,Site C,NA,NA,2008,,,NA,,July,Summer,NA,,,,,VERENA Admin,4/12/2022 2:08pm,intestine,tissue,1,0,0,0,NA,NA,RdRp,"Yes, for this study",Yes,PCR,betacoronavirus,1,Rousettus amplexicaudatus,Rousettus amplexicaudatus,"bat coronaviruses and experimental infection of bats, the philippines",Rousettus amplexicaudatus,PTEROPODIDAE
314,314,309,bats are natural reservoirs of sars-like coronaviruses,Li et al.,Science,2005,110,0,0,Rousettus leschenaulti,betacoronavirus,,Sarbecovirus,,,single,cross-sectional,RNA,PCR,single,ORF SARS-Cov Tor2,NA,faecal swab,China,N, Guangxi,Nanning,NA,NA,2004,,,NA,,March,Spring,NA,,,,,VERENA Admin,4/12/2022 2:08pm,"faecal, rectal, or anal",swab,0,0,0,1,NA,NA,Other,No,No,PCR,betacoronavirus,1,Rousettus leschenaultii,Rousettus leschenaultii,bats are natural reservoirs of sars-like coronaviruses,Rousettus leschenaultii,PTEROPODIDAE
315,315,310,bats are natural reservoirs of sars-like coronaviruses,Li et al.,Science,2005,45,0,0,Rousettus leschenaulti,betacoronavirus,,Sarbecovirus,,,single,cross-sectional,RNA,PCR,single,ORF SARS-Cov Tor2,NA,faecal swab,China,N,Guangdong,Maoming,NA,NA,2004,,,NA,,March,Spring,NA,,,,,VERENA Admin,4/12/2022 2:08pm,"faecal, rectal, or anal",swab,0,0,0,1,NA,NA,Other,No,No,PCR,betacoronavirus,1,Rousettus leschenaultii,Rousettus leschenaultii,bats are natural reservoirs of sars-like coronaviruses,Rousettus leschenaultii,PTEROPODIDAE
316,316,311,bats are natural reservoirs of sars-like coronaviruses,Li et al.,Science,2005,27,0,0,Cynopterus sphinx,betacoronavirus,,Sarbecovirus,,,single,cross-sectional,RNA,PCR,single,ORF SARS-Cov Tor2,NA,faecal swab,China,N,Guangdong,Maoming,NA,NA,2004,,,NA,,March,Spring,NA,,,,,VERENA Admin,4/12/2022 2:08pm,"faecal, rectal, or anal",swab,0,0,0,1,NA,NA,Other,No,No,PCR,betacoronavirus,1,Cynopterus sphinx,Cynopterus sphinx,bats are natural reservoirs of sars-like coronaviruses,Cynopterus sphinx,PTEROPODIDAE
317,317,312,bats are natural reservoirs of sars-like coronaviruses,Li et al.,Science,2005,55,0,0,Rousettus leschenaulti,betacoronavirus,,Sarbecovirus,,,single,cross-sectional,RNA,PCR,single,ORF SARS-Cov Tor2,NA,faecal swab,China,N,Guangxi,Nanning,NA,NA,2004,,,NA,,July,Summer,NA,,,,,VERENA Admin,4/12/2022 2:08pm,"faecal, rectal, or anal",swab,1,0,0,0,NA,NA,Other,No,No,PCR,betacoronavirus,1,Rousettus leschenaultii,Rousettus leschenaultii,bats are natural reservoirs of sars-like coronaviruses,Rousettus leschenaultii,PTEROPODIDAE
318,318,313,bats are natural reservoirs of sars-like coronaviruses,Li et al.,Science,2005,21,0,0,Myotis ricketti,betacoronavirus,,Sarbecovirus,,,single,cross-sectional,RNA,PCR,single,ORF SARS-Cov Tor2,NA,faecal swab,China,N,Tianjin,,NA,NA,2004,,,NA,,July,Summer,NA,,,,,VERENA Admin,4/12/2022 2:08pm,"faecal, rectal, or anal",swab,1,0,0,0,NA,NA,Other,No,No,PCR,betacoronavirus,1,Myotis pilosus,Myotis pilosus,bats are natural reservoirs of sars-like coronaviruses,Myotis pilosus,VESPERTILIONIDAE
319,319,314,bats are natural reservoirs of sars-like coronaviruses,Li et al.,Science,2005,15,0,0,Rhinolophus pusillus,betacoronavirus,,Sarbecovirus,,,single,cross-sectional,RNA,PCR,single,ORF SARS-Cov Tor2,NA,faecal swab,China,N,Hubei,Yichang,NA,NA,2004,,,NA,,November,Fall,NA,,,,,VERENA Admin,4/12/2022 2:07pm,"faecal, rectal, or anal",swab,0,1,0,0,NA,NA,Other,No,No,PCR,betacoronavirus,1,Rhinolophus pusillus,Rhinolophus pusillus,bats are natural reservoirs of sars-like coronaviruses,Rhinolophus pusillus,RHINOLOPHIDAE
320,320,315,bats are natural reservoirs of sars-like coronaviruses,Li et al.,Science,2005,8,1,0.125,Rhinolophus ferrumequinum,betacoronavirus,,Sarbecovirus,,,single,cross-sectional,RNA,PCR,single,ORF SARS-Cov Tor2,NA,faecal swab,China,N,Hubei,Yichang,NA,NA,2004,,,NA,,November,Fall,NA,,,,,VERENA Admin,4/12/2022 2:07pm,"faecal, rectal, or anal",swab,0,1,0,0,NA,NA,Other,No,No,PCR,betacoronavirus,1,Rhinolophus ferrumequinum,Rhinolophus ferrumequinum,bats are natural reservoirs of sars-like coronaviruses,Rhinolophus ferrumequinum,RHINOLOPHIDAE
321,321,316,bats are natural reservoirs of sars-like coronaviruses,Li et al.,Science,2005,8,1,0.125,Rhinolophus macrotis,betacoronavirus,,Sarbecovirus,,,single,cross-sectional,RNA,PCR,single,ORF SARS-Cov Tor2,NA,faecal swab,China,N,Hubei,Yichang,NA,NA,2004,,,NA,,November,Fall,NA,,,,,VERENA Admin,4/12/2022 2:07pm,"faecal, rectal, or anal",swab,0,1,0,0,NA,NA,Other,No,No,PCR,betacoronavirus,1,Rhinolophus macrotis,Rhinolophus macrotis,bats are natural reservoirs of sars-like coronaviruses,Rhinolophus macrotis,RHINOLOPHIDAE
322,322,317,bats are natural reservoirs of sars-like coronaviruses,Li et al.,Science,2005,1,0,0,Nyctalus plancyi,betacoronavirus,,Sarbecovirus,,,single,cross-sectional,RNA,PCR,single,ORF SARS-Cov Tor2,NA,faecal swab,China,N,Hubei,Yichang,NA,NA,2004,,,NA,,November,Fall,NA,,,,,VERENA Admin,4/12/2022 2:07pm,"faecal, rectal, or anal",swab,0,1,0,0,NA,NA,Other,No,No,PCR,betacoronavirus,1,Nyctalus plancyi,Nyctalus plancyi,bats are natural reservoirs of sars-like coronaviruses,Nyctalus plancyi,VESPERTILIONIDAE
323,323,318,bats are natural reservoirs of sars-like coronaviruses,Li et al.,Science,2005,1,0,0,Miniopterus schreibersi,betacoronavirus,,Sarbecovirus,,,single,cross-sectional,RNA,PCR,single,ORF SARS-Cov Tor2,NA,faecal swab,China,N,Hubei,Yichang,NA,NA,2004,,,NA,,November,Fall,NA,,,,,VERENA Admin,4/12/2022 2:07pm,"faecal, rectal, or anal",swab,0,1,0,0,NA,NA,Other,No,No,PCR,betacoronavirus,1,Miniopterus schreibersii,Miniopterus schreibersii,bats are natural reservoirs of sars-like coronaviruses,Miniopterus schreibersii,MINIOPTERIDAE
324,324,319,bats are natural reservoirs of sars-like coronaviruses,Li et al.,Science,2005,1,0,0,Myotis altarium,betacoronavirus,,Sarbecovirus,,,single,cross-sectional,RNA,PCR,single,ORF SARS-Cov Tor2,NA,faecal swab,China,N,Hubei,Yichang,NA,NA,2004,,,NA,,November,Fall,NA,,,,,VERENA Admin,4/12/2022 2:07pm,"faecal, rectal, or anal",swab,0,1,0,0,NA,NA,Other,No,No,PCR,betacoronavirus,1,Myotis altarium,Myotis altarium,bats are natural reservoirs of sars-like coronaviruses,Myotis altarium,VESPERTILIONIDAE
325,325,320,bats are natural reservoirs of sars-like coronaviruses,Li et al.,Science,2005,30,3,0.1,Rhinolophus pearsoni,betacoronavirus,,Sarbecovirus,,,single,cross-sectional,RNA,PCR,single,ORF SARS-Cov Tor2,NA,faecal swab,China,N,Guangxi,Nanning,NA,NA,2004,,,NA,,December,Winter,NA,,,,,VERENA Admin,4/12/2022 2:08pm,"faecal, rectal, or anal",swab,0,0,1,0,NA,NA,Other,No,No,PCR,betacoronavirus,1,Rhinolophus pearsonii,Rhinolophus pearsonii,bats are natural reservoirs of sars-like coronaviruses,Rhinolophus pearsonii,RHINOLOPHIDAE
326,326,321,bats are natural reservoirs of sars-like coronaviruses,Li et al.,Science,2005,6,0,0,Rhinolophus pusillus,betacoronavirus,,Sarbecovirus,,,single,cross-sectional,RNA,PCR,single,ORF SARS-Cov Tor2,NA,faecal swab,China,N,Guangxi,Nanning,NA,NA,2004,,,NA,,December,Winter,NA,,,,,VERENA Admin,4/12/2022 2:08pm,"faecal, rectal, or anal",swab,0,0,1,0,NA,NA,Other,No,No,PCR,betacoronavirus,1,Rhinolophus pusillus,Rhinolophus pusillus,bats are natural reservoirs of sars-like coronaviruses,Rhinolophus pusillus,RHINOLOPHIDAE
327,327,322,bats are natural reservoirs of sars-like coronaviruses,Li et al.,Science,2005,55,0,0,Rousettus leschenaulti,betacoronavirus,,Sarbecovirus,,,single,cross-sectional,RNA,PCR,single,ORF SARS-Cov Tor2,NA,respiratory swab,China,N,Guangxi,Nanning,NA,NA,2004,,,NA,,July,Summer,NA,,,,,VERENA Admin,4/12/2022 2:08pm,lung or respiratory,swab,1,0,0,0,NA,NA,Other,No,No,PCR,betacoronavirus,1,Rousettus leschenaultii,Rousettus leschenaultii,bats are natural reservoirs of sars-like coronaviruses,Rousettus leschenaultii,PTEROPODIDAE
328,328,323,bats are natural reservoirs of sars-like coronaviruses,Li et al.,Science,2005,21,0,0,Myotis ricketti,betacoronavirus,,Sarbecovirus,,,single,cross-sectional,RNA,PCR,single,ORF SARS-Cov Tor2,NA,respiratory swab,China,N,Tianjin,,NA,NA,2004,,,NA,,July,Summer,NA,,,,,VERENA Admin,4/12/2022 2:08pm,lung or respiratory,swab,1,0,0,0,NA,NA,Other,No,No,PCR,betacoronavirus,1,Myotis pilosus,Myotis pilosus,bats are natural reservoirs of sars-like coronaviruses,Myotis pilosus,VESPERTILIONIDAE
329,329,324,bats are natural reservoirs of sars-like coronaviruses,Li et al.,Science,2005,3,0,0,Rhinolophus macrotis,betacoronavirus,,Sarbecovirus,,,single,cross-sectional,RNA,PCR,single,ORF SARS-Cov Tor2,NA,respiratory swab,China,N,Hubei,Yichang,NA,NA,2004,,,NA,,November,Fall,NA,,,,,VERENA Admin,4/12/2022 2:07pm,lung or respiratory,swab,0,1,0,0,NA,NA,Other,No,No,PCR,betacoronavirus,1,Rhinolophus macrotis,Rhinolophus macrotis,bats are natural reservoirs of sars-like coronaviruses,Rhinolophus macrotis,RHINOLOPHIDAE
330,330,325,bats are natural reservoirs of sars-like coronaviruses,Li et al.,Science,2005,11,0,0,Rhinolophus pearsoni,betacoronavirus,,Sarbecovirus,,,single,cross-sectional,RNA,PCR,single,ORF SARS-Cov Tor2,NA,respiratory swab,China,N,Guangxi,Nanning,NA,NA,2004,,,NA,,December,Winter,NA,,,,,VERENA Admin,4/12/2022 2:08pm,lung or respiratory,swab,0,0,1,0,NA,NA,Other,No,No,PCR,betacoronavirus,1,Rhinolophus pearsonii,Rhinolophus pearsonii,bats are natural reservoirs of sars-like coronaviruses,Rhinolophus pearsonii,RHINOLOPHIDAE
331,331,326,bats are natural reservoirs of sars-like coronaviruses,Li et al.,Science,2005,2,0,0,Rhinolophus pusillus,betacoronavirus,,Sarbecovirus,,,single,cross-sectional,RNA,PCR,single,ORF SARS-Cov Tor2,NA,respiratory swab,China,N,Guangxi,Nanning,NA,NA,2004,,,NA,,December,Winter,NA,,,,,VERENA Admin,4/12/2022 2:08pm,lung or respiratory,swab,0,0,1,0,NA,NA,Other,No,No,PCR,betacoronavirus,1,Rhinolophus pusillus,Rhinolophus pusillus,bats are natural reservoirs of sars-like coronaviruses,Rhinolophus pusillus,RHINOLOPHIDAE
347,347,375,characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats,Wang et al.,Viruses,2019,499,2,0.004008,Rhinolophus affinis,betacoronavirus,,Sarbecovirus,,,pooled,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,NA,faecal swab/faeces,China,N,"Guangdong, Guizhou, Hainan, Henan, Jiangsu, Yunnan, Zhejiang",,NA,NA,,2004,November,2014,November,,Fall,NA,,,,,VERENA Admin,4/12/2022 2:09pm,"faecal, rectal, or anal",pooled,0,1,0,0,NA,NA,RdRp,No,No,PCR,betacoronavirus,1,Rhinolophus affinis,Rhinolophus affinis,characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats,Rhinolophus affinis,RHINOLOPHIDAE
348,348,377,characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats,Wang et al.,Viruses,2019,238,12,0.05042,Rhinolophus ferrumequinum,betacoronavirus,,Sarbecovirus,,,pooled,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,NA,faecal swab/faeces,China,N,"Beijing, Fujian, Gansu, Guizhou, Hebei, Henan, Shandong, Shanxi, Yunnan",,NA,NA,,2004,November,2014,November,,Fall,NA,,,,,VERENA Admin,4/12/2022 2:09pm,"faecal, rectal, or anal",pooled,0,1,0,0,NA,NA,RdRp,No,No,PCR,betacoronavirus,1,Rhinolophus ferrumequinum,Rhinolophus ferrumequinum,characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats,Rhinolophus ferrumequinum,RHINOLOPHIDAE
349,349,380,characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats,Wang et al.,Viruses,2019,31,1,0.032258,Rhinolophus macrotis,betacoronavirus,,Sarbecovirus,,,pooled,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,NA,faecal swab/faeces,China,N,"Chongqing, Guangdong, Guangxi, Hebei, Hubei, Jiangsu, Beijing, Yunnan",,NA,NA,,2004,November,2014,November,,Fall,NA,,,,,VERENA Admin,4/12/2022 2:09pm,"faecal, rectal, or anal",pooled,0,1,0,0,NA,NA,RdRp,No,No,PCR,betacoronavirus,1,Rhinolophus macrotis,Rhinolophus macrotis,characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats,Rhinolophus macrotis,RHINOLOPHIDAE
350,350,383,characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats,Wang et al.,Viruses,2019,283,2,0.007067,Rhinolophus pusillus,betacoronavirus,,Sarbecovirus,,,pooled,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,NA,faecal swab/faeces,China,N,"Fujian, Guangdong, Guangxi, Hebei, Henan, Hubei, Jiangsu, Shandong",,NA,NA,,2004,November,2014,November,,Fall,NA,,,,,VERENA Admin,4/12/2022 2:09pm,"faecal, rectal, or anal",pooled,0,1,0,0,NA,NA,RdRp,No,No,PCR,betacoronavirus,1,Rhinolophus pusillus,Rhinolophus pusillus,characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats,Rhinolophus pusillus,RHINOLOPHIDAE
351,351,385,characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats,Wang et al.,Viruses,2019,740,72,0.097297,Rhinolophus sinicus,betacoronavirus,,Sarbecovirus,,,pooled,cross-sectional,RNA,hemi-nested RT-PCR,multiple,RdRp,NA,faecal swab/faeces,China,N,"Fujian, Guangdong, Guangxi, Guizhou, Hainan, Hubei, Hunan, Jiangsu, Sichuan, Yunnan, Zhejiang",,NA,NA,,2004,November,2014,November,,Fall,NA,,,,,VERENA Admin,4/12/2022 2:09pm,"faecal, rectal, or anal",pooled,0,1,0,0,NA,NA,RdRp,No,No,PCR,betacoronavirus,1,Rhinolophus sinicus,Rhinolophus sinicus,characterization of a new member of alphacoronavirus with unique genomic features in rhinolophus bats,Rhinolophus sinicus,RHINOLOPHIDAE
