"","X","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_genus_notes","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","sample_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","gene_targets_simplified","euthanasia","euthanasia_simplified","method_specific_simplified","virus_genus_simplified","spec","species_for_reader","species","studies"
"15",15,2195,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,152,1,0.006579,"Pteronotus parnellii","betacoronavirus","","","","Mex Cov 10","single","cross-sectional","RNA","RT-PCR","single",NA,NA,"rectal swab","Mexico","N","Campeche","Reserva de la Biósfera Calakmul",NA,NA,"","","",NA,"","",NA,NA,"N","Y, Disturbed","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal","swab",NA,NA,NA,NA,NA,NA,NA,"No","No","PCR","betacoronavirus",1,"Pteronotus parnellii","Pteronotus parnellii","viral diversity of bat communities in human-dominated landscapes in mexico"
"16",16,2196,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,65,1,0.015385,"Carollia perspicillata","alphacoronavirus","","","","Mex Cov 1","single","cross-sectional","RNA","RT-PCR","single",NA,NA,"rectal swab","Mexico","N","Campeche","Reserva de la Biósfera Calakmul",NA,NA,"","","",NA,"","",NA,NA,"N","Y, Fragmented","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal","swab",NA,NA,NA,NA,NA,NA,NA,"No","No","PCR","alphacoronavirus",1,"Carollia perspicillata","Carollia perspicillata","viral diversity of bat communities in human-dominated landscapes in mexico"
"17",17,2197,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,65,3,0.046154,"Carollia sowelli","alphacoronavirus","","","","Mex Cov 1 (1), Mex Cov 2 (1), Mex Cov 5b (1)","single","cross-sectional","RNA","RT-PCR","single",NA,NA,"rectal swab","Mexico","N","Campeche","Reserva de la Biósfera Calakmul",NA,NA,"","","",NA,"","",NA,NA,"N","Y, Fragmented","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/25/2022 8:36pm","faecal, rectal, or anal","swab",NA,NA,NA,NA,NA,NA,NA,"No","No","PCR","alphacoronavirus",1,"Carollia sowelli","Carollia sowelli","viral diversity of bat communities in human-dominated landscapes in mexico"
"18",18,2201,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,65,1,0.015385,"Artibeus jamaicensis","alphacoronavirus","","","","Mex Cov 4","single","cross-sectional","RNA","RT-PCR","single",NA,NA,"rectal swab","Mexico","N","Campeche","Reserva de la Biósfera Calakmul",NA,NA,"","","",NA,"","",NA,NA,"N","Y, Fragmented","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal","swab",NA,NA,NA,NA,NA,NA,NA,"No","No","PCR","alphacoronavirus",1,"Artibeus jamaicensis","Artibeus jamaicensis","viral diversity of bat communities in human-dominated landscapes in mexico"
"19",19,2203,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,65,1,0.015385,"Nyctinomops laticaudatus","betacoronavirus","","","","Mex Cov 9","single","cross-sectional","RNA","RT-PCR","single",NA,NA,"rectal swab","Mexico","N","Campeche","Reserva de la Biósfera Calakmul",NA,NA,"","","",NA,"","",NA,NA,"N","Y, Fragmented","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal","swab",NA,NA,NA,NA,NA,NA,NA,"No","No","PCR","betacoronavirus",1,"Nyctinomops laticaudatus","Nyctinomops laticaudatus","viral diversity of bat communities in human-dominated landscapes in mexico"
"20",20,2204,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,102,1,0.009804,"Carollia perspicillata","alphacoronavirus","","","","Mex Cov 1","single","cross-sectional","RNA","RT-PCR","single",NA,NA,"rectal swab","Mexico","N","Campeche","Reserva de la Biósfera Calakmul",NA,NA,"","","",NA,"","",NA,NA,"N","Y, Disturbed","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal","swab",NA,NA,NA,NA,NA,NA,NA,"No","No","PCR","alphacoronavirus",1,"Carollia perspicillata","Carollia perspicillata","viral diversity of bat communities in human-dominated landscapes in mexico"
"21",21,2205,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,102,1,0.009804,"Carollia sowelli","alphacoronavirus","","","","Mex Cov 2","single","cross-sectional","RNA","RT-PCR","single",NA,NA,"rectal swab","Mexico","N","Campeche","Reserva de la Biósfera Calakmul",NA,NA,"","","",NA,"","",NA,NA,"N","Y, Disturbed","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal","swab",NA,NA,NA,NA,NA,NA,NA,"No","No","PCR","alphacoronavirus",1,"Carollia sowelli","Carollia sowelli","viral diversity of bat communities in human-dominated landscapes in mexico"
"22",22,2206,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,102,1,0.009804,"Artibeus lituratus","betacoronavirus","","","","Mex Cov 11a","single","cross-sectional","RNA","RT-PCR","single",NA,NA,"rectal swab","Mexico","N","Campeche","Reserva de la Biósfera Calakmul",NA,NA,"","","",NA,"","",NA,NA,"N","Y, Disturbed","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal","swab",NA,NA,NA,NA,NA,NA,NA,"No","No","PCR","betacoronavirus",1,"Artibeus lituratus","Artibeus lituratus","viral diversity of bat communities in human-dominated landscapes in mexico"
"23",23,2208,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,10,1,0.1,"Myotis velifer","alphacoronavirus","","","","Mex Cov 7","single","cross-sectional","RNA","RT-PCR","single",NA,NA,"rectal swab","Mexico","N","Greater Mexico City","Distrito Federal, Metropolitan Area",NA,NA,"","","",NA,"","",NA,NA,"N","Y, Fragmented","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal","swab",NA,NA,NA,NA,NA,NA,NA,"No","No","PCR","alphacoronavirus",1,"Myotis velifer","Myotis velifer","viral diversity of bat communities in human-dominated landscapes in mexico"
"24",24,2209,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,49,2,0.040816,"Myotis velifer","alphacoronavirus","","","","Mex Cov 7","single","cross-sectional","RNA","RT-PCR","single",NA,NA,"rectal swab","Mexico","N","Greater Mexico City","Distrito Federal, Metropolitan Area",NA,NA,"","","",NA,"","",NA,NA,"N","Y, Urban","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal","swab",NA,NA,NA,NA,NA,NA,NA,"No","No","PCR","alphacoronavirus",1,"Myotis velifer","Myotis velifer","viral diversity of bat communities in human-dominated landscapes in mexico"
"25",25,2210,"viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,49,3,0.061224,"Tadarida brasiliensis","alphacoronavirus","","","","Mex Cov 8","single","cross-sectional","RNA","RT-PCR","single",NA,NA,"rectal swab","Mexico","N","Greater Mexico City","Distrito Federal, Metropolitan Area",NA,NA,"","","",NA,"","",NA,NA,"N","Y, Urban","Y, No co-infection","include rows for taxonomic/geographic patterns in yes/no sampled and yes/no positive but NOT in prevalence analyses because denominators correspond to region and not species","VERENA Admin","4/12/2022 2:02pm","faecal, rectal, or anal","swab",NA,NA,NA,NA,NA,NA,NA,"No","No","PCR","alphacoronavirus",1,"Tadarida brasiliensis","Tadarida brasiliensis","viral diversity of bat communities in human-dominated landscapes in mexico"
"29",29,1120,"longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand","Wacharapluesadee et al.","Virol J",2018,44,11,0.25,"Pteropus lylei","genus not specified","unique IDs 1120-1122 and 2945-2956 include 4 alphacoronaviruses and 64 betacoronaviruses, but impossible to know from tables 1 & 2 which are which","","","","pooled","longitudinal","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"rectal swab","Thailand","N","Chonburi","S1 (house), Luang temple","101809054.9""E","13830018.9""N","2012","","January",NA,"December","","Year",NA,"Y, 220 male and 147 female","Y, two human dwellings, pig farm","Y, multiple strains of the same βCoV species","airtable double counts by including study table 1 (ID 1120-1122)+ table 2 (ID 2945-2956): study included in binary analyses but not prevalence estimates","VERENA Admin","4/26/2022 1:08pm","faecal, rectal, or anal","swab",1,1,1,1,13.830018,101.8090549,"RdRp","No","No","PCR","genus not specified",1,"Pteropus lylei","Pteropus lylei","longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand"
"30",30,1121,"longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand","Wacharapluesadee et al.","Virol J",2018,99,35,0.353535,"Pteropus lylei","genus not specified","unique IDs 1120-1122 and 2945-2956 include 4 alphacoronaviruses and 64 betacoronaviruses, but impossible to know from tables 1 & 2 which are which","","","","pooled","longitudinal","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"rectal swab","Thailand","N","Chonburi","S2 (pig farm), Luang temple","101809054.9""E","13830018.9""N","2012","","January",NA,"December","","Year",NA,"Y, 220 male and 147 female","Y, two human dwellings, pig farm","Y, multiple strains of the same βCoV species","airtable double counts by including study table 1 (ID 1120-1122)+ table 2 (ID 2945-2956): study included in binary analyses but not prevalence estimates","VERENA Admin","4/26/2022 1:08pm","faecal, rectal, or anal","swab",1,1,1,1,13.830018,101.8090549,"RdRp","No","No","PCR","genus not specified",1,"Pteropus lylei","Pteropus lylei","longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand"
"31",31,1122,"longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand","Wacharapluesadee et al.","Virol J",2018,224,22,0.098214,"Pteropus lylei","genus not specified","unique IDs 1120-1122 and 2945-2956 include 4 alphacoronaviruses and 64 betacoronaviruses, but impossible to know from tables 1 & 2 which are which","","","","pooled","longitudinal","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"rectal swab","Thailand","N","Chonburi","S3 (roost), Luang temple","101809054.9""E","13830018.9""N","2012","","January",NA,"December","","Year",NA,"Y, 220 male and 147 female","Y, two human dwellings, pig farm","Y, multiple strains of the same βCoV species","airtable double counts by including study table 1 (ID 1120-1122)+ table 2 (ID 2945-2956): study included in binary analyses but not prevalence estimates","VERENA Admin","4/26/2022 1:08pm","faecal, rectal, or anal","swab",1,1,1,1,13.830018,101.8090549,"RdRp","No","No","PCR","genus not specified",1,"Pteropus lylei","Pteropus lylei","longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand"
"32",32,2945,"longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand","Wacharapluesadee et al.","Virol J",2018,14,4,0.285714,"Pteropus lylei","genus not specified","unique IDs 1120-1122 and 2945-2956 include 4 alphacoronaviruses and 64 betacoronaviruses, but impossible to know from tables 1 & 2 which are which","","","","pooled","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"rectal swab","Thailand","N","Chonburi","S1, S2, S3 (pooled)",NA,NA,"2012","","",NA,"","January","Winter",NA,"","","","airtable double counts by including study table 1 (ID 1120-1122)+ table 2 (ID 2945-2956): study included in binary analyses but not prevalence estimates","VERENA Admin","4/26/2022 1:08pm","faecal, rectal, or anal","swab",0,0,1,0,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Pteropus lylei","Pteropus lylei","longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand"
"33",33,2946,"longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand","Wacharapluesadee et al.","Virol J",2018,14,0,0,"Pteropus lylei","genus not specified","unique IDs 1120-1122 and 2945-2956 include 4 alphacoronaviruses and 64 betacoronaviruses, but impossible to know from tables 1 & 2 which are which","","","","pooled","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"rectal swab","Thailand","N","Chonburi","S1, S2, S3 (pooled)",NA,NA,"2012","","",NA,"","February","Winter",NA,"","","","airtable double counts by including study table 1 (ID 1120-1122)+ table 2 (ID 2945-2956): study included in binary analyses but not prevalence estimates","VERENA Admin","4/26/2022 1:08pm","faecal, rectal, or anal","swab",0,0,1,0,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Pteropus lylei","Pteropus lylei","longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand"
"34",34,2947,"longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand","Wacharapluesadee et al.","Virol J",2018,20,0,0,"Pteropus lylei","genus not specified","unique IDs 1120-1122 and 2945-2956 include 4 alphacoronaviruses and 64 betacoronaviruses, but impossible to know from tables 1 & 2 which are which","","","","pooled","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"rectal swab","Thailand","N","Chonburi","S1, S2, S3 (pooled)",NA,NA,"2012","","",NA,"","March","Spring",NA,"","","","airtable double counts by including study table 1 (ID 1120-1122)+ table 2 (ID 2945-2956): study included in binary analyses but not prevalence estimates","VERENA Admin","4/26/2022 1:08pm","faecal, rectal, or anal","swab",0,0,0,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Pteropus lylei","Pteropus lylei","longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand"
"35",35,2948,"longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand","Wacharapluesadee et al.","Virol J",2018,46,2,0.043478,"Pteropus lylei","genus not specified","unique IDs 1120-1122 and 2945-2956 include 4 alphacoronaviruses and 64 betacoronaviruses, but impossible to know from tables 1 & 2 which are which","","","","pooled","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"rectal swab","Thailand","N","Chonburi","S1, S2, S3 (pooled)",NA,NA,"2012","","",NA,"","April","Spring",NA,"","","","airtable double counts by including study table 1 (ID 1120-1122)+ table 2 (ID 2945-2956): study included in binary analyses but not prevalence estimates","VERENA Admin","4/26/2022 1:08pm","faecal, rectal, or anal","swab",0,0,0,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Pteropus lylei","Pteropus lylei","longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand"
"36",36,2949,"longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand","Wacharapluesadee et al.","Virol J",2018,39,16,0.410256,"Pteropus lylei","genus not specified","unique IDs 1120-1122 and 2945-2956 include 4 alphacoronaviruses and 64 betacoronaviruses, but impossible to know from tables 1 & 2 which are which","","","","pooled","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"rectal swab","Thailand","N","Chonburi","S1, S2, S3 (pooled)",NA,NA,"2012","","",NA,"","May","Spring",NA,"","","","airtable double counts by including study table 1 (ID 1120-1122)+ table 2 (ID 2945-2956): study included in binary analyses but not prevalence estimates","VERENA Admin","4/26/2022 1:08pm","faecal, rectal, or anal","swab",0,0,0,1,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Pteropus lylei","Pteropus lylei","longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand"
"37",37,2950,"longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand","Wacharapluesadee et al.","Virol J",2018,29,14,0.482759,"Pteropus lylei","genus not specified","unique IDs 1120-1122 and 2945-2956 include 4 alphacoronaviruses and 64 betacoronaviruses, but impossible to know from tables 1 & 2 which are which","","","","pooled","cross-sectional","RNA","hemi-nested RT-PCR","multiple","RdRp",NA,"rectal swab","Thailand","N","Chonburi","S1, S2, S3 (pooled)",NA,NA,"2012","","",NA,"","June","Summer",NA,"","","","airtable double counts by including study table 1 (ID 1120-1122)+ table 2 (ID 2945-2956): study included in binary analyses but not prevalence estimates","VERENA Admin","4/26/2022 1:08pm","faecal, rectal, or anal","swab",1,0,0,0,NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Pteropus lylei","Pteropus lylei","longitudinal study of age-specific pattern of coronavirus infection in lyle's flying fox (pteropus lylei) in thailand"
